PERNO HEXAGONAL PULGADA UNC - AC. INOX 304,,,,,,,,,,
,,I4E3204,I4E3205,I4E3206,I4E3207,I4E3208,I4E3210,I4E3212,I4E3214,I4E3216
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
18,"4 1/2""",$46.33,,$94.74,,$169.02,$315.73,$477.44,$792.59,$966.62
,,6 CTO,,3 CTO,,1.5 CTO,1 CTO,0.8 CTO,0.6 CTO,0.45 CTO
20,"5""",$50.61,$69.04,$104.76,,$214.02,$317.35,$522.86,$799.58,"$1,105.59"
,,5.5 CTO,3.5 CTO,2.5 CTO,,1.5 CTO,0.9 CTO,0.65 CTO,0.5 CTO,0.4 CTO
24,"6""",$57.27,$82.26,$123.94,,$254.89,$413.40,$582.29,$924.95,"$1,230.03"
,,5 CTO,3 CTO,2.5 CTO,,1.5 CTO,0.75 CTO,0.6 CTO,0.45 CTO,0.4 CTO
,"6 1/2""",,,,,,,,,
,,,,,,,,,,
28,"7""",,,$148.61,,$290.32,$469.86,$662.29,"$1,113.20","$1,479.35"
,,,,2 CTO,,1.5 CTO,0.7 CTO,0.6 CTO,0.4 CTO,0.35 CTO
32,"8""",,,$177.34,,$330.55,$530.71,$786.25,"$1,247.66","$1,664.74"
,,,,2 CTO,,1.25 CTO,0.6 CTO,0.5 CTO,0.4 CTO,0.25 CTO
36,"9""",,,,,$369.82,$620.10,,,
,,,,,,1.2 CTO,0.6 CTO,,,
40,"10""",,,,,$409.58,,,,"$2,132.38"
,,,,,,1 CTO,,,,0.2 CTO
,,,,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
