PRISIONERO ALLEN MÉTRICO RC - AC. INOX 304,,,,,,,
,,I4M3803,I4M3804,I4M3805,I4M3806,I4M3808,I4M3810
CÓD.,LARGO,Ø M3,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10
03,3,$1.37,,,,,
,,2500 CTO,,,,,
04,4,$1.78,,,,,
,,2000 CTO,,,,,
05,5,$2.30,$1.98,$2.17,,,
,,1500 CTO,700 CTO,500 CTO,,,
06,6,$2.77,$2.64,$2.99,$3.22,,
,,1000 CTO,600 CTO,500 CTO,300 CTO,,
08,8,$3.47,$2.91,$3.86,$5.10,$6.49,
,,500 CTO,500 CTO,300 CTO,250 CTO,100 CTO,
10,10,$4.45,$3.58,$4.31,$5.61,$8.51,$16.25
,,500 CTO,400 CTO,200 CTO,150 CTO,100 CTO,50 CTO
12,12,,$4.94,$5.63,$6.89,$10.54,$16.27
,,,400 CTO,200 CTO,100 CTO,80 CTO,50 CTO
16,16,,$6.18,$7.56,$10.34,$17.78,$24.99
,,,200 CTO,150 CTO,100 CTO,50 CTO,45 CTO
20,20,,,$9.70,$13.35,$20.66,$31.74
,,,,100 CTO,70 CTO,40 CTO,30 CTO
25,25,,,,,$27.54,$41.26
,,,,,,35 CTO,20 CTO
30,30,,,,,$33.22,$49.98
,,,,,,30 CTO,15 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
