TIRAFÓN HEXAGONAL PULGADA UNC - AC. INOX 304,,,,,,
,,I4E6004,I4E6005,I4E6006,I4E6008,I4E6010
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 1/2""","Ø 5/8"""
03,"3/4""",,,,,
,,,,,,
04,"1""",,,,,
,,,,,,
05,"1 1/4""",,,,,
,,,,,,
06,"1 1/2""",$12.56,$28.70,$50.33,,
,,20 CTO,12 CTO,10 CTO,,
08,"2""",$15.03,$33.45,$49.35,$128.09,
,,15 CTO,9 CTO,8 CTO,4.5 CTO,
10,"2 1/2""",,$40.21,$63.48,$151.65,
,,,9 CTO,6.5 CTO,2.5 CTO,
12,"3""",$21.96,,$64.81,$181.28,$407.93
,,9.6 CTO,,4.5 CTO,2 CTO,
14,"3 1/2""",$26.81,,,,
,,9 CTO,,,,
16,"4""",$33.22,$61.41,,$190.05,$517.16
,,8 CTO,4 CTO,,2.1 CTO,
18,"4 1/2""",,,,$225.47,
,,,,,1.6 CTO,
20,"5""",,,,$245.68,$637.83
,,,,,CTO,
24,"6""",,,$139.83,$272.00,$756.07
,,,,2 CTO,CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
