PERNO DE EXPANSIÓN PULGADA - AC. INOX 304,,,,,,
,,I4D0104,I4D0106,I4D0108,I4D0110,I4D0112
CÓD.,LARGO,"Ø 1/4""","Ø 3/8""","Ø 1/2""","Ø 5/8""","Ø 3/4"""
07,"1 3/4""",$48.84,,,,
,,10 CTO,,,,
09,"2 1/4""",$57.58,$82.18,,,
,,10 CTO,5 CTO,,,
11,"2 3/4""",,$92.72,$162.45,,
,,,5 CTO,2.5 CTO,,
12,"3""",,$99.24,$173.99,,
,,,5 CTO,2.5 CTO,,
13,"3 1/4""",$73.25,,,,
,,10 CTO,,,,
14,"3 1/2""",,,$196.23,$366.15,
,,,,2 CTO,0 CTO,
15,"3 3/4""",$82.01,$125.73,$204.85,,
,,10 CTO,4 CTO,2 CTO,,
16,"4""",,,$217.01,,
,,,,2 CTO,,
17,"4 1/4""",,,$227.72,$442.72,$618.11
,,,,2 CTO,1 CTO,0.6 CTO
18,"4 1/2""",,,,$469.64,
,,,,,1 CTO,
19,"4 3/4""",,,,,$676.60
,,,,,,0.6 CTO
20,"5""",,$148.41,,$547.47,
,,,3 CTO,,1.1 CTO,
21,"5 1/4""",,,,$532.05,
,,,,,1 CTO,
22,"5 1/2""",,,$277.67,$558.85,$763.18
,,,,1.5 CTO,,0.6 CTO
24,"6""",,,$300.13,$585.65,
,,,,1.5 CTO,1 CTO,
25,"6 1/4""",,,,,
,,,,,,
28,"7""",,,$342.11,,
,,,,1.2 CTO,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
