PERNO HEXAGONAL PULGADA UNC - AC. INOX 316,,,,,,,,,,
,,I6E3204,I6E3205,I6E3206,,I6E3208,I6E3210,I6E3212,I6E3214,I6E3216
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
18,"4 1/2""",,,,,,$477.62,$601.80,$842.35,"$1,075.18"
,,,,,,,1 CTO,0.8 CTO,0.6 CTO,0.45 CTO
20,"5""",,,,,,$523.86,$611.32,$917.32,"$1,174.43"
,,,,,,,0.9 CTO,0.65 CTO,0.5 CTO,0.4 CTO
24,"6""",,,,,$315.83,$588.14,$738.30,"$1,181.04","$1,381.64"
,,,,,,1.5 CTO,0.75 CTO,0.6 CTO,0.45 CTO,0.4 CTO
,"6 1/2""",,,,,,,,,
,,,,,,,,,,
28,"7""",,,,,,$708.32,$885.60,,
,,,,,,,0.7 CTO,0.6 CTO,,
32,"8""",,,,,,,,,
,,,,,,,,,,
36,"9""",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
40,"10""",,,,,,,,,
,,,,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
