TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 316,,,,,,,,,,
,,04,05,06,08,10,12,14,16,20
CÓD.,,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M20
I6M0200,,,,$4.67,$10.79,$24.69,$35.38,,$67.33,$117.16
,,,,100 CTO,50 CTO,24 CTO,15 CTO,,8 CTO,4 CTO
ARANDELA PLANA MÉTRICA - AC. INOX 316,,,,,,,,,,
,,04,05,06,08,10,12,14,16,20
CÓD.,,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M20
I6M1200,,,,$2.11,$4.21,$9.31,$15.62,,$31.53,
,,,,245 CTO,165 CTO,70 CTO,40 CTO,,20 CTO,
ARANDELA PRESIÓN MÉTRICA - AC. INOX 316,,,,,,,,,,
,,04,05,06,08,10,12,14,16,20
CÓD.,,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M20
I6M1400,,,,$2.32,$4.65,$6.97,$10.75,,$24.97,
,,,,300 CTO,150 CTO,80 CTO,50 CTO,,25 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
