PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,,
,,E2204,E2205,E2206,E2207,E2208,E2209
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16"""
20,"5""",$16.30,$22.95,$34.83,$49.86,$65.53,$91.36
,,6 CTO,4.5 CTO,3 CTO,2 CTO,1.7 CTO,1.4 CTO
22,"5 1/2""",,,$38.33,,$75.97,
,,,,2.75 CTO,,1.5 CTO,
24,"6""",$21.78,$26.41,$41.36,$62.86,$78.49,$104.18
,,5.5 CTO,3.1 CTO,2.5 CTO,1.9 CTO,1.6 CTO,1.15 CTO
28,"7""",,,$54.52,,$90.90,
,,,,2.5 CTO,,1.4 CTO,
32,"8""",,,$55.68,,$104.06,
,,,,2 CTO,,1.25 CTO,
36,"9""",,,$65.97,,$117.09,
,,,,2 CTO,,1.1 CTO,
40,"10""",,,$73.20,,$129.33,
,,,,1.75 CTO,,1 CTO,
44,"11""",,,,,$157.74,
,,,,,,0.8 CTO,
48,"12""",,,,,$164.02,
,,,,,,0.75 CTO,
52,"13""",,,,,,
,,,,,,,
56,"14""",,,,,,
,,,,,,,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
