TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,
,,12,14,16,20,22,26
CÓD.,,"Ø 3/4""","Ø 7/8""","Ø 1""","Ø 1 1/8""","Ø 1 1/4""","Ø 1 1/2"""
E0800,,$28.33,$47.24,$69.63,$108.86,$155.26,$261.85
,,5 CTO,3 CTO,2 CTO,1 CTO,1 CTO,0.6 CTO
ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA,,,,,,,
,,12,14,16,20,22,26
CÓD.,,"Ø 3/4""","Ø 7/8""","Ø 1""","Ø 1 1/8""","Ø 1 1/4""","Ø 1 1/2"""
E1101,,$17.04,$21.81,$25.96,$67.35,$75.77,$101.03
,,0 CTO,0 CTO,0 CTO,0 CTO,0 CTO,0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
