TUERCA HEXAGONAL MÉTRICA RC - CL. 8 PAVONADA,,,,,,,,
,,18,20,22,24,27,30,08
CÓD.,,Ø M18,Ø M20,Ø M22,Ø M24,Ø M27,Ø M30,Ø M8
M0500,,$20.72,$26.48,$31.92,$43.94,$72.22,$103.07,$2.86
,,5.5 CTO,4.5 CTO,3 CTO,2.5 CTO,1.8 CTO,1.2 CTO,54 CTO
ARANDELA PLANA ESTÁNDAR MÉTRICA RC - CL. 8.8 TROPICALIZADA,,,,,,,,
,,18,20,22,24,27,30,08
CÓD.,,Ø M18,Ø M20,Ø M22,Ø M24,Ø M27,Ø M30,Ø M8
M1209,,$8.24,$9.59,$8.93,$16.47,$22.09,$28.30,$0.96
,,CTO,CTO,CTO,CTO,CTO,CTO,CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
