TUERCAS MÉTRICAS RF,,,,
,,"HEXAGONAL
CL. 8.8
RF","HEXAGONAL
CL. 10.9
RF","SEGURO
NYLON
RF"
CÓD.,Ø,M05,M08,M01
0208,M8 X 1.00,$2.86,,
,,55 CTO,,
5210,M10 X 1.00,$5.64,,
,,24 CTO,,
0210,M10 X 1.25,$5.16,,$7.27
,,24 CTO,,24.5 CTO
8210,M10 X 1.25 (E14),$5.39,,
,,24 CTO,,
5211,M12 X 1.00,$9.17,,
,,16 CTO,,
5212,M12 X 1.25,$7.71,,$11.15
,,17 CTO,,15 CTO
0212,M12 X 1.50,$7.71,,$11.15
,,16 CTO,,16 CTO
0214,M14 X 1.50,$10.94,,$15.72
,,12 CTO,,10 CTO
0216,M16 X 1.50,$14.74,,$20.91
,,8.5 CTO,,8 CTO
0218,M18 X 1.50,$20.72,,$33.48
,,6 CTO,,5 CTO
0219,M19 X 1.50,,$35.90,
,,,4 CTO,
0220,M20 X 1.50,,$33.67,$41.18
,,,4.5 CTO,4 CTO
0222,M22 X 1.50,,$41.51,$52.47
,,,3.7 CTO,2.5 CTO
0227,M27 X 1.50,,$95.84,
,,,CTO,
0224,M24 X 1.50,,$57.63,$75.40
,,,2.5 CTO,2 CTO
0230,M30 X 1.50,,$133.91,
,,,CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,
