"TORNILLO AUTOPERFORANTE CAB. HEX. SIN
ARANDELA",,,,,
,,E6808,E6810,E6812,E6814
CÓD.,LARGO,#8,#10,#12,#14
08,"1/2""",$1.32,,,
,,120 CTO,,,
12,"3/4""",$1.46,$2.04,$2.69,$3.88
,,80 CTO,60 CTO,40 CTO,40 CTO
16,"1""",$2.04,$2.40,$2.88,$3.95
,,80 CTO,40 CTO,40 CTO,40 CTO
26,"1 1/2""",,$3.47,$3.86,$6.10
,,,50 CTO,60 CTO,25 CTO
32,"2""",,$4.11,$4.93,$6.87
,,,32 CTO,30 CTO,28 CTO
56,"3 1/2""",,,,$11.80
,,,,,15 CTO
64,"4""",,,,$13.71
,,,,,12 CTO
80,"5""",,,,$14.62
,,,,,10 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
