PERNO SOCKET MÉTRICO CAB. CILÍNDRICA RC - CL. 12.9,,,,,,
,,M3610,M3612,M3614,M3616,M3620
CÓD.,LARGO,Ø M10,Ø M12,Ø M14,Ø M16,Ø M20
02,12,,,,,
,,,,,,
03,16,$22.43,,,,
,,1.2 CTO,,,,
04,20,$25.28,$37.84,,,
,,9 CTO,6 CTO,,,
05,25,$25.39,$40.16,,,
,,7.5 CTO,5 CTO,,,
06,30,$27.97,$44.27,,,
,,7 CTO,5 CTO,,,
07,35,$30.94,$46.08,,,
,,7 CTO,5 CTO,,,
08,40,$33.48,$49.90,$80.18,$100.38,
,,5 CTO,3.5 CTO,2.5 CTO,2 CTO,
09,45,$38.82,$56.63,,,
,,4.5 CTO,4 CTO,,,
10,50,$46.17,$57.42,$88.06,$114.84,
,,4 CTO,4 CTO,2.5 CTO,2 CTO,
12,60,$48.95,$80.37,$102.08,$128.53,$228.45
,,3.5 CTO,3 CTO,2.5 CTO,1.5 CTO,0.8 CTO
14,70,$55.61,$92.06,$127.24,$148.36,$250.79
,,3 CTO,2 CTO,2 CTO,1.5 CTO,1 CTO
16,80,$62.29,$102.74,$142.57,$164.75,$299.20
,,3 CTO,2.5 CTO,1.2 CTO,1.3 CTO,0.6 CTO
18,90,$69.18,$114.31,$150.38,$189.30,$309.29
,,2 CTO,2 CTO,0.8 CTO,1.2 CTO,0.8 CTO
20,100,$75.97,$131.77,$207.41,$198.29,$357.12
,,3 CTO,2 CTO,0.5 CTO,0.7 CTO,0.75 CTO
22,110,$86.19,$143.51,$227.41,$237.63,$365.27
,,2.5 CTO,1.5 CTO,1.5 CTO,0.8 CTO,0.5 CTO
24,120,$89.21,$155.26,$242.05,$283.67,$390.67
,,2.5 CTO,1.5 CTO,1 CTO,0.8 CTO,0.6 CTO
26,130,$100.55,$148.56,$248.41,$303.46,$470.44
,,2 CTO,1.5 CTO,1 CTO,0.8 CTO,0.5 CTO
28,140,,$156.14,,,
,,,1.2 CTO,,,
30,150,$109.11,$190.10,$297.15,$310.49,$532.48
,,1.5 CTO,1 CTO,1 CTO,0.8 CTO,0.55 CTO
32,160,,$202.24,,,
,,,1.2 CTO,,,
36,180,,$225.73,$351.03,$365.53,$620.39
,,,1.2 CTO,1 CTO,0.6 CTO,0.4 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
