PERNO HEXAGONAL PULGADA UNC - AC. INOX 304,,,,,,,,,,
 , , I4E3204, I4E3205, I4E3206, I4E3207, I4E3208, I4E3210, I4E3212, I4E3214, I4E3216
CÓD. ,LARGO ,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
01 ,"1/2""" ,$7.86 50 CTO,$12.85 30 CTO,$19.23 21 CTO, , , , , , 
02 ,"5/8""" ,$9.07 45 CTO, , , , , , , , 
03 ,"3/4""" ,$9.20 40 CTO,$15.30 26 CTO,$22.33 18 CTO, ,$50.70 9 CTO, , , , 
04 ,"1""" ,$10.66 36 CTO,$18.02 22 CTO,$26.48 15 CTO,$43.35 10 CTO,$55.32 6.5 CTO,$113.29 4 CTO, , , 
05 ,"1 1/4""" ,$12.90 28 CTO,$20.59 18 CTO,$30.34 13 CTO, ,$62.06 6.5 CTO,$132.55 3.5 CTO, , , 
06 ,"1 1/2""" ,$15.42 24 CTO,$24.73 16 CTO,$35.21 10 CTO,$52.83 7.5 CTO,$69.81 5 CTO,$134.27 3 CTO,$209.96 2 CTO, , 
08 ,"2""" ,$19.35 16 CTO,$32.03 12 CTO,$45.80 8 CTO,$68.64 6 CTO,$84.00 4.5 CTO,$159.65 2.5 CTO,$237.46 1.8 CTO,$418.09 1.2 CTO, 
10 ,"2 1/2""" ,$25.69 13 CTO,$38.03 9 CTO,$55.39 6.5 CTO,$87.69 4.5 CTO,$106.68 3.25 CTO,$191.94 2 CTO,$272.95 1.4 CTO,$454.06 1 CTO,$653.17 0.8 CTO
12 ,"3""" ,$27.75 9 CTO,$43.03 7 CTO,$64.97 5 CTO,$92.34 4 CTO,$123.81 3 CTO,$224.22 1.75 CTO,$315.90 1.2 CTO,$521.05 0.9 CTO,$694.11 0.6 CTO
 ,"3 1/4""" , , , , , , , , , 
14 ,"3 1/2""" ,$34.75 7.5 CTO,$50.11 6 CTO,$74.99 4 CTO,$120.12 3 CTO,$141.51 2.5 CTO,$254.08 1.5 CTO,$366.78 1 CTO,$574.97 0.7 CTO,$863.96 0.6 CTO
16 ,"4""" ,$39.13 6 CTO,$56.38 5 CTO,$85.01 3.5 CTO,$135.05 2.5 CTO,$159.22 2 CTO,$286.85 1.25 CTO,$410.82 0.85 CTO,$685.33 0.6 CTO,$966.60 0.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
