PERNO HEXAGONAL MÉTRICO RC - AC. INOX 304,,,,,,,,,,
 , , I4M3204, I4M3205, I4M3206, I4M3208, I4M3210, I4M3212, I4M3214, I4M3216, I4M3218
CÓD. 02,LARGO 10,Ø M4 $4.27,Ø M5 $5.48,Ø M6 $7.62,Ø M8 ,Ø M10 ,Ø M12 ,Ø M14 ,Ø M16 ,Ø M18 
 021, 12,130 CTO $4.39,90 CTO $5.89,55 CTO $8.38, $16.53, , , , , 
 03, 16,120 CTO $4.92,80 CTO $6.61,50 CTO $8.78,25 CTO $18.27, $31.73, , , , 
 04, 20,100 CTO $5.95,65 CTO $7.61,48 CTO $9.96,22 CTO $19.55,12 CTO $34.13, $49.95, , , 
 05, 25,100 CTO $6.97,60 CTO $8.81,40 CTO $11.48,20 CTO $21.72,10 CTO $34.31,7.5 CTO $53.36, , $122.41, 
 06, 30,80 CTO $8.00,50 CTO $9.82,35 CTO $12.83,17 CTO $25.23,10 CTO $38.89,7 CTO $55.97, $99.14,3.5 CTO $133.91, 
 07, 35,70 CTO $8.78,40 CTO $10.51,30 CTO $16.13,16 CTO $29.51,8 CTO $42.42,6 CTO $60.57,5 CTO $103.27,3.2 CTO $145.06, 
 08, 40,55 CTO $10.22,30 CTO $12.43,25 CTO $16.31,14 CTO $33.44,8 CTO $46.68,5.5 CTO $65.86,4.5 CTO $111.95,3 CTO $162.72, 
 09, 45,55 CTO ,30 CTO $14.51,25 CTO $18.99,13 CTO $35.85,7.5 CTO $49.76,5 CTO $78.80,4 CTO $120.29,2.5 CTO $184.16, 
 10, 50, ,25 CTO $15.56,20 CTO $19.49,12 CTO $36.73,7 CTO $53.43,5 CTO $88.04,4 CTO $121.55,2.5 CTO $186.56, $222.88
 12, 60, ,22 CTO ,20 CTO $22.69,10 CTO $44.84,6.5 CTO $60.62,4.5 CTO $99.99,3.5 CTO $144.48,2.5 CTO $188.08,1.5 CTO $249.28
 14, 70, , ,15 CTO $25.70,8 CTO $50.72,5.5 CTO $68.39,4 CTO $101.95,2.5 CTO $159.98,2 CTO $205.49,1.5 CTO $289.96
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,12 CTO ,7.5 CTO ,5 CTO ,3 CTO ,2.5 CTO ,2 CTO ,1.5 CTO 
