"TUERCA HEXAGONAL PULGADA UNC - AC.
 INOX 304", , , , , ARANDELA PULGADA - AC. INOX 304, , , , 
 CÓD., Ø,I4E0220 HEX.,I4E0120 NYLON,I4E0320 CIEGA,I4E1420 PRESIÓN,I4E1210 PLANA,DIM. ARANDELA PLANA Ø INT. (mm.), Ø EXT. (mm.), ESP (mm.)
01 ,"1/8""" , , , , , , , , 
02 ,"5/32""" , , , , , , , , 
03 ,"3/16""" ,$2.82 144 CTO, ,$9.17 65 CTO,$1.07 10 CTO, , , , 
04 ,"1/4""" ,$5.76 90 CTO,$7.22 70 CTO,$12.24 45 CTO,$1.92 250 CTO,$3.26 150 CTO,7.40 ,15.90 ,1.50 
05 ,"5/16""" ,$8.46 50 CTO,$9.37 50 CTO,$19.58 25 CTO,$3.37 120 CTO,$3.72 120 CTO,8.80 ,19.00 ,1.20 
06 ,"3/8""" ,$11.46 40 CTO,$16.00 30 CTO,$29.67 19 CTO,$5.56 80 CTO,$5.18 90 CTO,10.60 ,20.60 ,1.40 
07 ,"7/16""" ,$20.28 22 CTO, , ,$8.46 60 CTO,$6.45 60 CTO,12.20 ,23.30 ,1.40 
08 ,"1/2""" ,$26.67 15 CTO,$36.49 12 CTO,$51.27 10 CTO,$11.09 40 CTO,$12.60 40 CTO,14.50 ,31.70 ,1.40 
10 ,"5/8""" ,$53.97 6 CTO, , ,$20.53 20 CTO,$18.51 25 CTO,17.40 ,33.30 ,1.80 
12 ,"3/4""" ,$90.86 4 CTO, , ,$32.86 15 CTO,$31.90 11 CTO,21.60 ,36.90 ,2.80 
14 ,"7/8""" ,$150.77 3 CTO, , ,$53.73 8 CTO,$45.54 8 CTO,23.80 ,50.80 ,2.80 
16 ,"1""" ,$218.23 1.5 CTO, , ,$79.37 4.6 CTO,$65.74 6.5 CTO,26.90 ,50.80 ,3.00 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,
