TUERCA HEXAGONAL MÉTRICO RC - AC. INOX 304,,,,,,ARANDELA MÉTRICA - AC. INOX 304,,,,
 , , I4M0120, I4M0220, I4M0920, I4M0930, I4M1420, I4M1220, DIM. ARANDELA PLANA, , 
CÓD. 03,Ø M3,NYLON ,HEX. $1.24,MARIPOSA ,CIEGA ,PRESIÓN $0.34,PLANA $0.77,Ø INT. (mm.) 3.20,Ø EXT. (mm.) 7.00,ESP (mm.) 0.50
 04, M4, ,850 CTO $1.81, $12.19, ,1500 CTO $0.51,2000 CTO $0.96, 4.40, 8.80, 0.80
 05, M5, $2.62,400 CTO $2.69,70 CTO $12.86, $4.21,1000 CTO $0.83,700 CTO $1.06, 5.40, 9.80, 0.90
 06, M6,250 CTO $5.00,250 CTO $5.73,70 CTO $20.51,100 CTO $8.21,650 CTO $1.94,600 CTO $1.65, 6.50, 10.70, 1.50
 08, M8,100 CTO $10.88,100 CTO $12.24,40 CTO $32.00,50 CTO $16.05,200 CTO $3.63,300 CTO $3.39, 8.50, 15.70, 1.50
 10, M10,50 CTO $20.43,50 CTO $26.54,25 CTO $43.48,25 CTO $36.88,130 CTO $5.32,150 CTO $6.31, 10.60, 19.70, 1.90
 12, M12,22 CTO $35.95,24 CTO $40.07,15 CTO $109.93,12 CTO ,80 CTO $8.94,70 CTO $12.39, 13.30, 23.60, 2.50
 14, M14,15 CTO ,15 CTO $41.80,8 CTO , ,50 CTO $13.20,40 CTO $16.67, 15.20, 27.70, 2.40
 16, M16, $71.10,10 CTO $85.60, , ,40 CTO $20.31,30 CTO $21.62, 17.00, 29.60, 2.80
 18, M18,8 CTO ,8 CTO $111.72, , ,25 CTO $24.63,20 CTO $27.48, 19.40, 33.70, 2.90
 20, M20, $140.76,5 CTO $136.84, , ,22 CTO $37.32,18 CTO $31.74, 21.10, 36.70, 3.10
 24, M24,4 CTO ,4 CTO $246.94, , ,15 CTO $64.98,14 CTO $38.82, 25.20, 43.60, 3.80
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,2.5 CTO , , ,8 CTO ,8 CTO , , , 
