PERNO SOCKET CAB. CILÍNDRICA PULGADA UNC - AC. INOX 304,,,,,,,,
 , , I4E3603, I4E3604, I4E3605, I4E3606, I4E3607, I4E3608, I4E3610
CÓD. 01,LARGO "1/2""","Ø 3/16""" $8.47,"Ø 1/4""" $10.57,"Ø 5/16""" $14.10,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" 
 02, "5/8""",CTO ,40 CTO $11.84,25 CTO $15.38, , , , 
 03, "3/4""", $10.54,40 CTO $12.28,25 CTO $16.30, $27.81, , $64.05, 
 04, "1""",CTO $11.99,35 CTO $14.90,20 CTO $19.16,14 CTO $31.40, ,6.91 CTO $69.43, 
 05, "1 1/4""",CTO ,30 CTO $17.76,15 CTO $23.13,10 CTO $37.63, ,5 CTO , $205.57
 06, "1 1/2""", ,25 CTO $20.93,15 CTO $25.05,10 CTO $41.30, $58.96, $82.26,3 CTO 
 08, "2""", ,22 CTO $28.32,12 CTO $31.84,9 CTO $52.12,6 CTO $76.24,4.5 CTO $96.81, $269.21
 10, "2 1/2""", ,15 CTO $33.02,10 CTO $39.08,7.5 CTO $64.27,5 CTO $91.03,3.5 CTO $118.32,2 CTO $304.53
 12, "3""", ,12 CTO ,9 CTO $48.16,6 CTO $78.15,3.5 CTO ,3 CTO $147.16,1.8 CTO $362.61
 , "3 1/4""", , ,8 CTO ,5 CTO , ,2.5 CTO ,1 CTO 
 14, "3 1/2""", , , $58.92, $93.15, , $162.77, 
 16, "4""", , ,6 CTO $63.52,4 CTO $103.33, ,2.5 CTO $174.95, 
 18, "4 1/2""", , ,5 CTO ,3.5 CTO , ,2 CTO , 
 20, "5""", , , , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , , 
