PERNO SOCKET MÉTRICO RC - AC. INOX 304,,,,,,,,,,
 , , I4M3603, I4M3604, I4M3605, I4M3606, I4M3608, I4M3610, I4M3612, I4M3614, I4M3616
CÓD. 00,LARGO 8,Ø M3 ,Ø M4 $3.63,Ø M5 ,Ø M6 ,Ø M8 ,Ø M10 ,Ø M12 ,Ø M14 ,Ø M16 
 01, 10, $2.25,150 CTO $4.41, $6.25, $8.38, , , , , 
 02, 12,250 CTO $2.57,130 CTO $4.90,80 CTO $7.27,50 CTO $8.76, $19.82, , , , 
 03, 16,250 CTO $3.22,100 CTO $5.71,60 CTO $8.26,50 CTO $9.58,24 CTO $20.69, , , , 
 04, 20,200 CTO $3.86,100 CTO $6.53,60 CTO $9.51,40 CTO $10.82,20 CTO $21.05, $37.24, , , 
 05, 25,180 CTO $4.51,100 CTO $6.99,55 CTO $11.45,40 CTO $12.41,20 CTO $22.84,10 CTO $41.17, $61.04, , 
 06, 30,150 CTO $5.61,90 CTO $8.22,45 CTO $12.18,30 CTO $14.71,17 CTO $25.24,10 CTO $45.28,7 CTO $66.61, , $180.53
 07, 35,130 CTO $5.65,75 CTO $9.48,40 CTO $14.37,30 CTO $17.00,15 CTO $27.80,8 CTO $49.71,6 CTO $73.04, $141.01,2.5 CTO $194.07
 08, 40,100 CTO $6.20,60 CTO $11.42,30 CTO $15.59,25 CTO $20.64,14 CTO $31.32,8 CTO $54.15,5.5 CTO $79.13,3.5 CTO $150.39,2.5 CTO $199.01
 09, 45,100 CTO ,50 CTO ,30 CTO $16.41,20 CTO $22.31,12 CTO $40.79,7.5 CTO $63.86,5 CTO $90.21,3 CTO ,2.5 CTO $209.66
 10, 50, , ,25 CTO $17.90,20 CTO $22.87,10 CTO $44.60,6.5 CTO $65.43,4.5 CTO $92.69, $172.83,2 CTO $226.34
 12, 60, , ,22 CTO ,20 CTO $29.75,10 CTO $48.23,6 CTO $70.89,4.5 CTO $104.17,2.8 CTO $205.11,2 CTO $255.75
 14, 70, , , ,15 CTO $35.48,9 CTO $59.47,5.5 CTO $90.77,3.5 CTO $131.65,2.5 CTO $211.52,2 CTO $285.88
 16, 80, , , ,12 CTO $39.94,7.5 CTO $59.78,4.5 CTO $115.16,3 CTO $135.35,2.5 CTO $261.64,1.5 CTO $345.70
 18, 90, , , ,12 CTO $44.19,6 CTO $61.81,4 CTO $119.26,2.5 CTO $147.54,2 CTO ,1.5 CTO $380.01
 20, 100, , , ,10 CTO ,5 CTO $81.66,3.5 CTO $122.68,2.5 CTO $163.87, $299.44,1.5 CTO $386.78
 24, 120, , , , ,5 CTO $114.72,3.5 CTO $145.10,2 CTO $193.99,1.5 CTO ,1.3 CTO 
 30, 150, , , , ,CTO ,3 CTO ,1.7 CTO $216.68, , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , ,1.5 CTO , , 
