"PERNO SOCKET CAB. AVELLANADA PULGADA UNC - AC. INOX
 304", , , , , , 
 CÓD., LARGO,I4E4803 "Ø 3/16""",I4E4804 "Ø 1/4""",I4E4805 "Ø 5/16""",I4E4806 "Ø 3/8""",I4E4808 "Ø 1/2"""
01 ,"1/2""" ,$6.48 7.5 CTO,$9.38 10 CTO,$15.81 10 CTO, , 
02 ,"5/8""" ,$7.81 10 CTO,$11.35 10 CTO,$18.17 10 CTO, , 
03 ,"3/4""" ,$8.53 10 CTO,$12.96 10 CTO,$19.54 10 CTO,$32.49 10 CTO, 
04 ,"1""" ,$10.80 7.5 CTO,$16.06 10 CTO,$24.24 10 CTO,$39.84 10 CTO,$68.65 6 CTO
05 ,"1 1/4""" , ,$18.87 10 CTO,$30.51 10 CTO,$50.27 9 CTO, 
06 ,"1 1/2""" ,$15.79 7.5 CTO,$22.43 10 CTO,$34.46 10 CTO,$51.20 CTO,$91.57 4.8 CTO
08 ,"2""" ,$20.51 10 CTO,$28.78 10 CTO,$44.76 9 CTO,$67.91 CTO,$123.26 4.2 CTO
10 ,"2 1/2""" , , , ,$82.80 3.6 CTO, 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
