PERNO SOCKET CAB. AVELLANADA MÉTRICO RC - AC. INOX 304,,,,,,,,
 , , I4M4803, I4M4804, I4M4805, I4M4806, I4M4808, I4M4810, I4M4812
CÓD. 01,LARGO 10,Ø M3 $1.59,Ø M4 $2.95,Ø M5 $4.45,Ø M6 ,Ø M8 ,Ø M10 ,Ø M12 
 02, 12,450 CTO $1.91,200 CTO $3.54,130 CTO $4.94, $7.13, , , 
 03, 16,350 CTO $2.55,200 CTO $3.75,100 CTO $6.12,70 CTO $8.27, $16.86, , 
 04, 20,250 CTO $2.86,150 CTO $4.55,95 CTO $7.67,60 CTO $9.53,32 CTO $17.05, $33.35, 
 05, 25,200 CTO $3.49,100 CTO $5.63,80 CTO $8.53,50 CTO $11.66,25 CTO $21.25,15 CTO $38.60, $60.98
 06, 30,200 CTO $4.45,100 CTO $6.70,65 CTO $9.52,45 CTO $13.79,24 CTO $23.80,12 CTO $40.70,10 CTO $67.38
 07, 35,150 CTO ,80 CTO ,60 CTO $10.88,40 CTO $15.35,20 CTO $26.75,13 CTO $49.78,8 CTO $75.37
 08, 40, , ,50 CTO $12.24,35 CTO $15.80,18 CTO $29.90,12 CTO $57.10,7 CTO $78.07
 09, 45, , ,45 CTO $12.37,30 CTO $17.95,15 CTO $33.04,10 CTO $61.43,6 CTO $83.87
 10, 50, , ,35 CTO $13.81,25 CTO $19.58,14 CTO $35.79,9.5 CTO $62.28,5.5 CTO $94.67
 12, 60, , ,30 CTO ,20 CTO $23.05,13 CTO $41.89,8 CTO $78.79,5.5 CTO $106.71
 14, 70, , , ,16 CTO ,10 CTO ,7 CTO $89.07,4.5 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , ,5.5 CTO , 
