PRISIONERO ALLEN MÉTRICO RC - AC. INOX 304,,,,,,,
 , , I4M3803, I4M3804, I4M3805, I4M3806, I4M3808, I4M3810
CÓD. 03,LARGO 3,Ø M3 $1.37,Ø M4 ,Ø M5 ,Ø M6 ,Ø M8 ,Ø M10 
 04, 4,2500 CTO $1.78, , , , , 
 05, 5,2000 CTO $2.30, $1.98, $2.17, , , 
 06, 6,1500 CTO $2.77,700 CTO $2.64,500 CTO $2.99, $3.22, , 
 08, 8,1000 CTO $3.47,600 CTO $2.91,500 CTO $3.86,300 CTO $5.10, $6.49, 
 10, 10,500 CTO $4.45,500 CTO $3.58,300 CTO $4.31,250 CTO $5.61,100 CTO $8.51, $16.25
 12, 12,500 CTO ,400 CTO $4.94,200 CTO $5.63,150 CTO $6.89,100 CTO $10.54,50 CTO $16.27
 16, 16, ,400 CTO $6.18,200 CTO $7.56,100 CTO $10.34,80 CTO $17.78,50 CTO $24.99
 20, 20, ,200 CTO ,150 CTO $9.70,100 CTO $13.35,50 CTO $20.66,45 CTO $31.74
 25, 25, , ,100 CTO ,70 CTO ,40 CTO $27.54,30 CTO $41.26
 30, 30, , , , ,35 CTO $33.22,20 CTO $49.98
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,30 CTO ,15 CTO 
