PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,,,,,,
 , , I4E2904, I4E2905, I4E2906, I4E2908, I4E2910
CÓD. 03,LARGO "3/4""","Ø 1/4""" $11.33,"Ø 5/16""" $18.42,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" 
 04, "1""",40 CTO $13.65,20 CTO $19.56, $36.06, , 
 05, "1 1/4""",35 CTO $16.98,18 CTO $23.25,12 CTO , , 
 06, "1 1/2""",25 CTO $17.13,18 CTO $26.24, $46.21, , 
 08, "2""",22 CTO $20.98,15 CTO $31.79,10 CTO $58.45, $108.34, 
 10, "2 1/2""",15 CTO $26.74,11 CTO $39.36,8 CTO $69.11,4 CTO $126.21, 
 12, "3""",12 CTO $28.30,8 CTO $43.19,6.5 CTO $80.50,3 CTO $273.94, 
 14, "3 1/2""",9 CTO $33.91,7 CTO ,5 CTO ,3 CTO , 
 16, "4""",7.5 CTO , , $95.05, $358.40, 
 18, "4 1/2""", , ,3.5 CTO ,2 CTO , 
 20, "5""", , , $108.52, , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,2.5 CTO , , 
