TIRAFÓN HEXAGONAL PULGADA UNC - AC. INOX 304,,,,,,
 , , I4E6004, I4E6005, I4E6006, I4E6008, I4E6010
CÓD. 03,LARGO "3/4""","Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" 
 04, "1""", , , , , 
 05, "1 1/4""", , , , , 
 06, "1 1/2""", $12.56, $28.70, $50.33, , 
 08, "2""",20 CTO $15.03,12 CTO $33.45,10 CTO $49.35, $128.09, 
 10, "2 1/2""",15 CTO ,9 CTO $40.21,8 CTO $63.48,4.5 CTO $151.65, 
 12, "3""", $21.96,9 CTO ,6.5 CTO $64.81,2.5 CTO $181.28, $407.93
 14, "3 1/2""",9.6 CTO $26.81, ,4.5 CTO ,2 CTO , 
 16, "4""",9 CTO $33.22, $61.41, , $190.05, $517.16
 18, "4 1/2""",8 CTO ,4 CTO , ,2.1 CTO $225.47, 
 20, "5""", , , ,1.6 CTO $245.68, $637.83
 24, "6""", , , $139.83,CTO $272.00, $756.07
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,2 CTO ,CTO , 
