TORNILLO AUTORROSCANTE CAB. PAN PULGADA - AC. INOX 304,,,,,,,
 , , I4E5204, I4E5206, I4E5208, I4E5210, I4E5212, I4E5214
CÓD. 06,LARGO "3/8""",#4 ,#6 $2.31,#8 ,#10 ,#12 ,#14 
 08, "1/2""", $1.52,200 CTO $2.34, $3.28, $3.85, , 
 10, "5/8""",250 CTO $1.86,160 CTO $2.77,150 CTO $4.00,100 CTO $5.24, , 
 12, "3/4""",250 CTO $2.09,150 CTO $3.50,100 CTO $4.59,90 CTO $4.85, $6.95, $10.92
 16, "1""",200 CTO $2.66,120 CTO $3.69,70 CTO $4.60,70 CTO $5.88,60 CTO $8.81,45 CTO $14.30
 24, "1 1/4""",140 CTO ,90 CTO ,70 CTO $6.23,60 CTO $6.76,45 CTO $11.45,34 CTO $15.76
 26, "1 1/2""", , $5.98,45 CTO $7.09,45 CTO $9.06,30 CTO $12.04,25 CTO $17.91
 32, "2""", ,55 CTO $7.43,40 CTO $10.14,CTO $10.49,28 CTO $16.13,20 CTO $22.15
 34, "2 1/2""", ,30 CTO ,25 CTO ,20 CTO ,20 CTO $19.75,13 CTO $29.97
 36, "3""", , , $18.79, ,11.4 CTO $23.59,9 CTO $32.30
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,15 CTO , ,9 CTO ,7.2 CTO 
