TORNILLO AUTORROSCANTE CAB. FLAT PULGADA - AC. INOX 304,,,,,,,
 , , I4E5304, I4E5306, I4E5308, I4E5310, I4E5312, I4E5314
CÓD. 04,LARGO "1/4""",#4 ,#6 ,#8 ,#10 ,#12 ,#14 
 06, "3/8""", $1.09, $1.63, , , , 
 08, "1/2""",400 CTO $1.38,300 CTO $1.70, $2.84, $3.78, , 
 10, "5/8""",350 CTO $1.72,200 CTO $1.97,160 CTO $3.27,120 CTO $4.66, , 
 12, "3/4""",210 CTO $1.71,150 CTO $2.69,120 CTO $3.84,120 CTO $4.85, $7.21, $5.70
 16, "1""",200 CTO $2.61,140 CTO $2.95,100 CTO $4.06,100 CTO $6.44,60 CTO $8.35,48 CTO $8.26
 24, "1 1/4""",120 CTO ,100 CTO $3.88,75 CTO $4.76,65 CTO $8.04,45 CTO $11.16,34 CTO $10.66
 26, "1 1/2""", ,CTO $4.22,60 CTO $7.40,50 CTO $9.00,30 CTO $11.58,20 CTO $12.86
 32, "2""", ,60 CTO $5.62,45 CTO $8.38,35 CTO ,28 CTO $17.04,20 CTO 
 34, "2 1/2""", ,30 CTO ,25 CTO $17.11, $15.95,20 CTO $21.88, $20.01
 36, "3""", , ,15 CTO ,15 CTO ,13.2 CTO $25.39,9 CTO $24.02
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,10.2 CTO ,10.2 CTO 
