STOVE BOLT CAB. PAN PULGADA - AC. INOX 304,,,,,,
 , , I4E7200, I4E7202, I4E7203, I4E7204, I4E7205
CÓD. 08,LARGO "1/2""","Ø 1/8""" ,"Ø 5/32""" ,"Ø 3/16""" ,"Ø 1/4""" ,"Ø 5/16""" 
 10, "5/8""", $2.58, , , $14.34, 
 12, "3/4""",150 CTO $2.94, $4.35, ,38 CTO $15.28, 
 16, "1""",100 CTO $3.67,90 CTO , ,30 CTO , 
 24, "1 1/4""",80 CTO , $6.37, $14.08, , 
 26, "1 1/2""", ,50 CTO $6.84,35 CTO $15.23, $24.87, 
 32, "2""", ,40 CTO $8.87,30 CTO $19.19,20 CTO $30.82, $55.41
 34, "2 1/2""", ,21 CTO ,20 CTO $20.12,15 CTO $36.96,7.8 CTO 
 36, "3""", , ,CTO ,9 CTO , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , 
