STOVE BOLT CAB. PAN MÉTRICO - AC. INOX 304,,,,,,
 , , I4M7203, I4M7204, I4M7205, I4M7206, I4M7206
CÓD. 04,LARGO 8,Ø M3 ,Ø M4 ,Ø M5 $7.54,Ø M6 $10.56,Ø M8 $10.56
 05, 10, $2.81, $5.25,120 CTO $8.17,60 CTO $11.59,60 CTO $11.59
 06, 12,270 CTO $3.08,150 CTO $5.76,100 CTO $8.84,60 CTO $12.00,60 CTO $12.00
 08, 16,250 CTO $3.76,120 CTO $6.74,100 CTO $9.53,50 CTO $13.53,50 CTO $13.53
 10, 20,200 CTO $4.43,90 CTO $6.77,75 CTO $11.46,45 CTO $15.19,45 CTO $15.19
 12, 25,150 CTO $5.19,70 CTO $9.04,60 CTO $13.55,40 CTO $17.32,40 CTO $17.32
 15, 30,100 CTO $6.11,60 CTO $10.25,50 CTO $15.82,32 CTO $18.50,32 CTO $18.50
 17, 35,100 CTO $6.80,60 CTO $11.34,40 CTO $17.70,25 CTO $22.74,25 CTO $22.74
 20, 40,80 CTO $7.72,40 CTO $12.86,35 CTO $19.66,25 CTO $24.95,25 CTO $24.95
 23, 45,55 CTO ,30 CTO $14.08,30 CTO $21.33,18 CTO $26.85,18 CTO $26.85
 25, 50, ,30 CTO $15.13,25 CTO $23.48,16 CTO $29.29,16 CTO $29.29
 30, 60, ,30 CTO $17.52,20 CTO $26.72,15 CTO $33.29,15 CTO $33.29
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,18 CTO ,15 CTO ,12 CTO ,12 CTO 
