TORNILLO STOVE BOLT CAB. FLAT MÉTRICO - AC. INOX 304,,,,,,,
 , , I4M7303, I4M7304, I4M7305, I4M7306, I4M7308, I4M7310
CÓD. 04,LARGO 8,Ø M3 ,Ø M4 ,Ø M5 ,Ø M6 $6.24,Ø M8 ,Ø M10 
 05, 10, $2.09, $3.85, $5.16,CTO $7.25, , 
 06, 12,350 CTO ,180 CTO $4.73,140 CTO $5.66,80 CTO $8.33, , 
 08, 16, ,150 CTO $5.66,140 CTO $7.81,80 CTO $10.33, , 
 10, 20, $3.68,100 CTO $6.87,100 CTO $8.94,65 CTO $11.86, $22.82, $36.77
 12, 25,150 CTO ,100 CTO $8.05,70 CTO $10.35,55 CTO $15.68,20 CTO $28.96,12 CTO $43.37
 15, 30, ,60 CTO $9.36,55 CTO $12.79,32 CTO $16.53,16 CTO $30.40,9 CTO 
 17, 35, ,60 CTO $9.68,40 CTO $13.92,30 CTO $19.10,15 CTO $34.60, $58.39
 20, 40, ,45 CTO $11.99,35 CTO $15.65,25 CTO $21.30,13 CTO $39.60,7.8 CTO 
 23, 45, ,40 CTO ,30 CTO $18.35,18 CTO $23.71,12 CTO $46.14, $71.97
 25, 50, , ,25 CTO $19.30,16 CTO $26.11,10 CTO $48.36,6 CTO 
 30, 60, , ,25 CTO ,15 CTO ,8 CTO , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , 
