PERNO DE EXPANSIÓN PULGADA - AC. INOX 304,,,,,,
 , , I4D0104, I4D0106, I4D0108, I4D0110, I4D0112
CÓD. 07,LARGO "1 3/4""","Ø 1/4""" $48.84,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" 
 09, "2 1/4""",10 CTO $57.58, $82.18, , , 
 11, "2 3/4""",10 CTO ,5 CTO $92.72, $162.45, , 
 12, "3""", ,5 CTO $99.24,2.5 CTO $173.99, , 
 13, "3 1/4""", $73.25,5 CTO ,2.5 CTO , , 
 14, "3 1/2""",10 CTO , , $196.23, $366.15, 
 15, "3 3/4""", $82.01, $125.73,2 CTO $204.85,0 CTO , 
 16, "4""",10 CTO ,4 CTO ,2 CTO $217.01, , 
 17, "4 1/4""", , ,2 CTO $227.72, $442.72, $618.11
 18, "4 1/2""", , ,2 CTO ,1 CTO $469.64,0.6 CTO 
 19, "4 3/4""", , , ,1 CTO , $676.60
 20, "5""", , $148.41, , $547.47,0.6 CTO 
 21, "5 1/4""", ,3 CTO , ,1.1 CTO $532.05, 
 22, "5 1/2""", , , $277.67,1 CTO $558.85, $763.18
 24, "6""", , ,1.5 CTO $300.13, $585.65,0.6 CTO 
 25, "6 1/4""", , ,1.5 CTO ,1 CTO , 
 28, "7""", , , $342.11, , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,1.2 CTO , , 
