PERNO HEXAGONAL PULGADA UNC - AC. INOX 316,,,,,,,,,,
 , , I6E3204, I6E3205, I6E3206, , I6E3208, I6E3210, I6E3212, I6E3214, I6E3216
CÓD. 01,LARGO "1/2""","Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
 02, "5/8""", $13.05, , , , , , , , 
 03, "3/4""",50 CTO $13.92, $21.12, $28.85, , , , , , 
 04, "1""",40 CTO $19.08,26 CTO $24.91,18 CTO $33.94, , $77.69, , , , 
 05, "1 1/4""",36 CTO $23.60,22 CTO $28.90,15 CTO $41.45, ,6.5 CTO $87.89, , , , 
 06, "1 1/2""",28 CTO $27.36,18 CTO $34.67,13 CTO $48.84, ,6.5 CTO $93.22, $190.44, , , 
 08, "2""",24 CTO $35.14,16 CTO $44.24,10 CTO $58.06, ,5 CTO $118.26,3 CTO $226.87, $303.05, , 
 10, "2 1/2""",16 CTO $37.11,12 CTO $54.00,8 CTO $76.43, ,4.5 CTO $142.14,2.5 CTO $252.07,1.8 CTO $364.34, , 
 12, "3""",13 CTO $50.45,9 CTO $63.37,6.5 CTO $83.27, ,3.25 CTO $182.52,2 CTO $302.35,1.4 CTO $414.65, $599.95, $778.01
 , "3 1/4""",9 CTO ,7 CTO ,5 CTO , ,3 CTO ,1.75 CTO ,1.2 CTO ,0.9 CTO ,0.6 CTO 
 , , , , , , , , , , 
14 ,"3 1/2""" , , ,$96.52 4 CTO, ,$210.44 2.5 CTO,$366.34 1.5 CTO,$442.74 1 CTO, ,$884.19 0.6 CTO
16 ,"4""" ,$65.50 6 CTO, ,$109.04 3.5 CTO, ,$235.13 2 CTO,$430.90 1.25 CTO,$495.05 0.85 CTO,$765.74 0.6 CTO,$981.26 0.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
