PERNO HEXAGONAL MÉTRICO RC - AC. INOX 316,,,,,,,,,,
 , , , I6M3205, I6M3206, I6M3208, I6M3210, I6M3212, , I6M3216, I6M3220
CÓD. 02,LARGO 10,Ø M4 ,Ø M5 $7.93,Ø M6 $10.04,Ø M8 ,Ø M10 ,Ø M12 ,Ø M14 ,Ø M16 ,Ø M18 
 021, 12, ,90 CTO ,56 CTO , , , , , , 
 03, 16, , $10.07, $12.67, $26.37, , , , , 
 04, 20, ,70 CTO $11.59,48 CTO $14.34,22 CTO $29.61, , , , , 
 05, 25, ,60 CTO $13.42,40 CTO $16.48,20 CTO $33.58, $54.28, , , , 
 06, 30, ,50 CTO $15.25,36 CTO $18.64,17 CTO $37.31,10 CTO $59.84, $77.79, , , 
 07, 35, ,40 CTO ,30 CTO ,16 CTO $41.30,8 CTO ,6 CTO , , , 
 08, 40, , , $22.22,14 CTO $45.77, $77.33, $101.03, , $185.44, 
 09, 45, , ,25 CTO ,13 CTO ,7.5 CTO ,5 CTO , ,2.5 CTO , 
 10, 50, , , , , $89.80, $110.57, , $222.80, 
 , , , , , ,6.5 CTO ,4.5 CTO , ,2.5 CTO , 
12 ,60 , , , , ,$101.79 5.5 CTO,$126.57 3.25 CTO, ,$241.75 2 CTO, 
14 ,70 , , , , ,$113.78 5 CTO,$141.74 3 CTO, ,$281.32 2 CTO,$385.08 1 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
