PERNO HEXAGONAL MÉTRICO RC - AC. INOX 316,,,,,,,,,,
 , , , I6M3205, I6M3206, I6M3208, I6M3210, I6M3212, , I6M3216, I6M3220
CÓD. 16,LARGO 80,Ø M4 ,Ø M5 ,Ø M6 ,Ø M8 ,Ø M10 $126.99,Ø M12 $156.70,Ø M14 ,Ø M16 $293.87,Ø M20 $463.94
 18, 90, , , , ,4.25 CTO ,2.5 CTO $171.25, ,1.5 CTO $336.65,1 CTO 
 20, 100, , , , , ,2.5 CTO $188.09, ,1.5 CTO $365.81, $539.19
 22, 110, , , , , ,2 CTO , ,1.25 CTO $394.12,0.9 CTO 
 24, 120, , , , , , , ,1.25 CTO $401.90, $645.39
 26, 130, , , , , , , ,1.1 CTO ,0.7 CTO 
 28, 140, , , , , , , , , 
 30, 150, , , , , , , , , 
 32, 160, , , , , , , , , 
 36, 180, , , , , , , , , 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
