PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,,,,,,,,
 , , E2254, E2255, E2256, E2257, E2258, E2260, E2262
CÓD. 01,LARGO "1/2""","Ø 1/4""" $3.01,"Ø 5/16""" $5.07,"Ø 3/8""" $7.63,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" 
 02, "5/8""",48 CTO $3.32,29 CTO $5.24,18 CTO , , , , 
 03, "3/4""",43 CTO $3.67,26 CTO $5.65, $8.13, $12.86, $18.94, , 
 04, "1""",38.5 CTO $4.24,24 CTO $6.55,17 CTO $9.50,11 CTO $15.05,7.75 CTO $20.08, , 
 05, "1 1/4""",33 CTO $5.02,20 CTO $7.92,13.5 CTO $11.07,11 CTO $16.99,6.6 CTO $23.39, , 
 06, "1 1/2""",28 CTO $5.51,17.5 CTO $8.48,12 CTO $12.48,8.5 CTO $17.55,6 CTO $24.91, $43.11, $73.42
 08, "2""",24 CTO $6.84,16 CTO $10.48,10.5 CTO $15.21,7.5 CTO $22.47,5.4 CTO $30.23,3 CTO $51.92,1.9 CTO $82.45
 10, "2 1/2""",20 CTO $8.47,12.6 CTO $12.93,8.5 CTO $18.56,3.29 CTO $28.36,4.4 CTO $35.18,2.6 CTO $60.42,1.65 CTO $98.24
 12, "3""",13 CTO $10.27,8.5 CTO $15.19,6.5 CTO $22.34,4.5 CTO $32.37,3.5 CTO $42.41,2.2 CTO $71.56,1.4 CTO $107.32
 13, "3 1/4""",10 CTO ,8.7 CTO ,5.5 CTO ,4 CTO ,3 CTO ,1.85 CTO ,1.2 CTO 
 , , , , , , , , 
14 ,"3 1/2""" ,$11.82 8 CTO,$17.70 6 CTO,$26.05 3.35 CTO,$38.75 3.5 CTO,$48.80 2.6 CTO,$81.20 1.65 CTO,$120.04 1 CTO
16 ,"4""" ,$13.62 8 CTO,$20.20 4.75 CTO,$29.31 4.2 CTO,$42.42 2.75 CTO,$55.96 2.3 CTO,$91.71 1.45 CTO,$134.47 1 CTO
18 ,"4 1/2""" ,$15.41 7 CTO,$23.47 4 CTO,$33.45 3.5 CTO,$49.43 2.3 CTO,$62.14 2 CTO,$106.80 1.25 CTO,$157.01 0.8 CTO
20 ,"5""" ,$16.74 5.5 CTO,$24.13 4 CTO,$35.13 3 CTO,$55.85 2.6 CTO,$66.15 1.75 CTO,$112.83 1.2 CTO,$171.68 0.78 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
