PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,,
 , , E2204, E2205, E2206, E2207, E2208, E2209
CÓD. 01,LARGO "1/2""","Ø 1/4""" $3.06,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 9/16""" 
 02, "5/8""",45 CTO $3.23, , , , , 
 03, "3/4""",40 CTO $3.35, $5.66, $8.56, , , 
 04, "1""",40 CTO $3.65,23.5 CTO $6.30,16 CTO $9.40, $13.96, $20.06, 
 05, "1 1/4""",33 CTO $4.64,20 CTO $8.01,13.5 CTO $11.04,10 CTO $16.41,6.6 CTO $23.77, 
 06, "1 1/2""",28.5 CTO $4.98,17.5 CTO $8.24,12 CTO $12.24,8 CTO $17.25,6 CTO $24.84, $34.10
 08, "2""",25 CTO $6.53,14.5 CTO $10.11,10.5 CTO $15.10,7.5 CTO $20.91,5.4 CTO $30.14,4 CTO $40.25
 10, "2 1/2""",20 CTO $7.84,11 CTO $12.50,8.5 CTO $18.29,6 CTO $30.61,4.3 CTO $35.02,3.3 CTO $50.53
 12, "3""",12 CTO $10.63,8.5 CTO $14.53,6.5 CTO $21.78,5 CTO $30.98,3.7 CTO $42.43,2.85 CTO $63.84
 14, "3 1/2""",10 CTO $10.68,7 CTO $16.97,5.5 CTO $25.49,4 CTO $36.93,3.1 CTO $49.10,2.2 CTO $68.40
 16, "4""",7.7 CTO $12.50,6.25 CTO $19.66,5 CTO $28.77,3 CTO $40.07,2.6 CTO $55.55,2 CTO $70.80
 18, "4 1/2""",8 CTO $12.72,5 CTO $22.47,4 CTO $32.63,2.8 CTO $49.63,2 CTO $59.18,1.8 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,7 CTO ,4.65 CTO ,3.2 CTO ,2.8 CTO ,2.2 CTO , 
