PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,
 , , E2210, E2212, E2214, E2216, E2292
CÓD. 05,LARGO "1 1/4""","Ø 5/8""" $43.26,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" ,"Ø 3/4"" RC" 
 06, "1 1/2""",3.3 CTO $44.49, $68.05, , , 
 08, "2""",3 CTO $52.42,1.9 CTO $77.36, $127.04, $188.84, 
 10, "2 1/2""",2.5 CTO $61.10,1.7 CTO $89.60,1.1 CTO $143.62,0.8 CTO $200.64, 
 12, "3""",2.2 CTO $71.71,1.42 CTO $103.82,0.95 CTO $155.54,0.7 CTO $219.15, 
 14, "3 1/2""",1.8 CTO $77.93,1.2 CTO $118.60,0.85 CTO $191.18,0.63 CTO $259.52, $138.32
 16, "4""",1.6 CTO $92.94,1.05 CTO $133.80,0.7 CTO $206.84,0.56 CTO $270.02,1.1 CTO 
 18, "4 1/2""",1.4 CTO $108.50,0.9 CTO $153.72,0.66 CTO $239.30,0.5 CTO $316.15, 
 20, "5""",1.2 CTO $110.14,0.8 CTO $156.23,0.62 CTO $248.17,0.45 CTO $324.43, 
 22, "5 1/2""",1.2 CTO $125.84,0.8 CTO $183.16,0.55 CTO $275.12,0.4 CTO $374.79, 
 24, "6""",1.09 CTO $129.43,0.75 CTO $185.09,0.5 CTO $285.82,0.38 CTO $387.78, 
 28, "7""",0.8 CTO $156.56,0.65 CTO $212.64,0.5 CTO $332.75,0.33 CTO $427.24, 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,0.85 CTO ,0.6 CTO ,0.4 CTO ,0.3 CTO , 
