PERNO HEXAGONAL MÉTRICO RC - CL. 5.8 TROPICALIZADO,,,,,,
 , , M2205, M2206, M2208, M2210, E2212
CÓD. 02,LARGO 10,Ø M5 $1.89,Ø M6 $2.27,Ø M8 ,Ø M10 ,Ø M12 
 03, 15,100 CTO $2.45,60 CTO $2.68, $5.48, , 
 04, 20,77 CTO $2.66,50 CTO $3.04,25 CTO $5.99, , 
 05, 25,68 CTO $3.25,43 CTO $3.52,21 CTO $7.17, , 
 06, 30,55.5 CTO $3.88,37.5 CTO $3.94,18.5 CTO $8.00, $12.72, $68.05
 07, 35,50 CTO $4.27,33.5 CTO $4.35,17 CTO $8.41,9.5 CTO $14.40,1.9 CTO 
 08, 40,43 CTO $4.83,29 CTO $4.87,15 CTO $9.19,8.8 CTO $16.05, $77.36
 10, 50,39 CTO $5.62,27 CTO $5.62,13.5 CTO $10.79,8 CTO $17.65,1.7 CTO $89.60
 12, 60,30 CTO ,20 CTO $6.56,11 CTO $12.24,6 CTO $20.07,1.42 CTO $103.82
 14, 70, ,16 CTO ,10 CTO $14.36,6 CTO ,1.2 CTO $118.60
 16, 80, , ,7 CTO $16.31, ,1.05 CTO $133.80
 20, 100, , ,7 CTO $19.23, ,0.9 CTO $156.23
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,6.5 CTO , ,0.8 CTO 
