PERNO HEXAGONAL MÉTRICO RC - CL. 8.8 PAVONADO,,,,,,
 , , M2416, M2418, M2420, M2422, M2424
CÓD. 20,LARGO 100,Ø M16 $97.61,Ø M18 $126.47,Ø M20 $158.53,Ø M22 $223.56,Ø M24 $265.59
 22, 110,1 CTO $110.31,1.06 CTO $136.69,0.9 CTO $179.74,0.68 CTO $242.45,0.55 CTO $287.19
 24, 120,1.3 CTO $119.32,1 CTO $155.17,0.8 CTO $193.59,0.65 CTO $256.71,0.5 CTO $296.97
 26, 130,1.2 CTO $133.45,0.9 CTO $164.99,0.7 CTO $204.90,0.6 CTO $275.28,0.45 CTO $312.09
 28, 140,1.2 CTO $136.04,0.85 CTO ,0.65 CTO $217.90,0.55 CTO ,0.45 CTO 
 30, 150,1.1 CTO $144.21, $177.25,0.7 CTO $231.46, $297.80, $352.34
 32, 160,0.95 CTO $153.51,0.75 CTO ,0.7 CTO $245.31,0.5 CTO ,0.4 CTO 
 36, 180,0.92 CTO $170.79, $209.98,0.6 CTO $264.58, $367.09, $431.81
 40, 200,0.85 CTO $195.34,0.65 CTO $226.29,0.5 CTO $280.46,0.42 CTO $397.73,0.35 CTO $435.46
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,0.76 CTO ,0.4 CTO ,0.46 CTO ,0.4 CTO ,0.2 CTO 
