PERNO HEXAGONAL MÉTRICO RF - CL. 8.8 PAVONADO,,,,,,,,,,
 , , M2508, M2560, M2510, M2562, M2512, M2514, M2516, M2518, M2520
CÓD. 04,LARGO 20,M8 X 1.00 $9.66,M10 X 1.00 ,M10 X 1.25 $15.38,M12 X 1.25 ,M12 X 1.50 ,M14 X 1.50 ,M16 X 1.50 ,M18 X 1.50 ,M20 X 1.50 
 05, 25,16 CTO $10.83, $17.11,12 CTO $18.00, $21.59, $21.66, , , , 
 06, 30,16 CTO $12.85,8 CTO $20.53,10 CTO $19.86,7 CTO ,7 CTO $22.30, $36.51, , , 
 07, 35,14 CTO ,8 CTO ,9.5 CTO $19.94, ,6.5 CTO ,4.5 CTO $39.44, , , 
 08, 40, , ,8.5 CTO $20.13, $28.53, $28.15,3.5 CTO $43.06, $67.94, , 
 09, 45, , ,7.5 CTO $24.21,5.5 CTO ,5 CTO $32.49,3.7 CTO $46.00,2.8 CTO , , 
 10, 50, , ,7 CTO $29.15, $35.58,5 CTO ,3.4 CTO $49.43, , $114.86, 
 12, 60, , ,6.5 CTO $30.08,4.5 CTO , $40.64,3.12 CTO $57.97, ,1.8 CTO $121.72, $163.63
 14, 70, , ,5.5 CTO , $45.03,4 CTO $45.81,2.8 CTO $65.61, $95.49,1.6 CTO ,1.2 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , ,3.5 CTO ,3.5 CTO ,2.4 CTO ,1.8 CTO , , 
