PERNO HEXAGONAL PULGADA UNC - GR. 8 PAVONADO,,,,,,,,
 , , E2604, E2605, E2606, E2607, E2608, E2609, E2610
CÓD. 02,LARGO "1/2""","Ø 1/4""" $4.11,"Ø 5/16""" $5.69,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 9/16""" ,"Ø 5/8""" 
 03, "5/8""",0 CTO $4.17,28 CTO $6.62, $9.50, , , , 
 04, "3/4""",38.5 CTO $4.70,23.5 CTO $7.71,16 CTO $11.15, $16.34, $23.41, , $41.39
 05, "1""",33.5 CTO $5.78,20 CTO $9.11,13.5 CTO $12.86,9.7 CTO $18.88,6 CTO $28.86, ,3 CTO 
 06, "1 1/4""",20 CTO $6.64,17 CTO $10.62,12 CTO $15.19,8.5 CTO $20.36,5 CTO $31.87, $37.80, $47.68
 07, "1 1/2""",23 CTO ,14 CTO ,10.5 CTO $17.94,7 CTO ,4.8 CTO ,4.2 CTO ,3.05 CTO 
 08, "2""", $8.84, $13.46,9 CTO $19.29, $26.24, $37.06, $45.88, $56.97
 10, "2 1/2""",15 CTO $11.75,11 CTO $16.32,7.9 CTO $23.82,6 CTO $32.38,3.9 CTO $44.72,3.27 CTO $55.46,2.5 CTO $69.62
 12, "3""",14 CTO $12.80,8.5 CTO $18.99,6.2 CTO $27.68,4.25 CTO $38.21,3 CTO $52.07,2.75 CTO $64.68,2 CTO $79.78
 14, "3 1/4""",11 CTO ,6.5 CTO $21.35,5.5 CTO $31.91,3.5 CTO $43.61,2.5 CTO $59.79,2.3 CTO $73.96,1.9 CTO $90.92
 16, "3 1/2""", $17.94,5.5 CTO $26.17,4.5 CTO $36.75,3.5 CTO $49.81,2.5 CTO $67.33,2 CTO $83.06,1.6 CTO $102.46
 18, "4""",9 CTO ,5 CTO ,4.25 CTO $40.72,3 CTO ,2.3 CTO $74.99,1.7 CTO $100.30,1.4 CTO $113.02
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,3.7 CTO , ,2 CTO ,1.6 CTO ,1.3 CTO 
