PERNO HEXAGONAL MÉTRICO RC - CL. 10.9 PAVONADO,,,,,,,
 , , M2606, M2608, M2610, M2612, M2614, M2616
CÓD. 22,LARGO 110,Ø M6 ,Ø M8 $27.13,Ø M10 $46.11,Ø M12 $63.24,Ø M14 $91.32,Ø M16 $116.73
 24, 120, ,4 CTO $31.82,3 CTO $49.74,2.3 CTO $67.68,1.5 CTO $103.36,1 CTO $127.35
 26, 130, ,4 CTO $33.08,2.8 CTO $53.24,2.1 CTO $75.98,1.5 CTO $111.37,1 CTO $135.07
 28, 140, ,4 CTO $36.07,2 CTO $55.84,2 CTO $81.40,1.5 CTO $119.31,0.9 CTO $146.79
 30, 150, ,3 CTO $38.49,1.8 CTO $60.55,1.5 CTO $82.38,1.4 CTO $120.81,1 CTO $149.02
 32, 160, ,4.3 CTO ,1.6 CTO ,1.86 CTO $88.36,1 CTO ,1 CTO $161.64
 36, 180, , , $72.23,1.6 CTO $102.49, $150.14,0.9 CTO $180.52
 40, 200, , ,2.2 CTO $83.70,1.5 CTO $113.56,0.8 CTO $167.54,0.8 CTO $197.31
 44, 220, , ,2 CTO ,1.2 CTO ,1 CTO ,0.75 CTO 
 50, 250, , , , , , 
 56, 280, , , , , , 
 60, 300, , , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , 
