PERNO HEXAGONAL MÉTRICO RC - CL. 10.9 PAVONADO,,,,,,,,
 , , M2618, M2620, M2622, M2624, M2627, M2630, M2658
CÓD. 22,LARGO 110,Ø M18 ,Ø M20 $192.03,Ø M22 $252.08,Ø M24 $296.76,Ø M27 ,Ø M30 ,Ø M8 RC 
 24, 120, $170.60,0.8 CTO $207.13,0.6 CTO $261.67,0.5 CTO $301.50, , $558.00, 
 26, 130,0.9 CTO $176.16,0.7 CTO $220.47,0.6 CTO $283.60,0.48 CTO $320.25, ,0.3 CTO , 
 28, 140,0.85 CTO ,0.7 CTO $231.82,0.52 CTO $313.66,0.45 CTO $355.51, , , 
 30, 150, $198.84,0.65 CTO $249.09,0.4 CTO $330.34,0.4 CTO $365.39, , $628.59, 
 32, 160,0.75 CTO ,0.6 CTO $261.33,0.5 CTO ,0.4 CTO $376.81, ,0.25 CTO $681.66, 
 36, 180, $240.72,0.6 CTO $293.76, $365.27,0.4 CTO $420.15, ,0.25 CTO $756.27, 
 40, 200,0.63 CTO $278.28,0.55 CTO $318.62,0.4 CTO $436.74,0.35 CTO $463.48, ,0.22 CTO $783.74, 
 44, 220,0.5 CTO ,0.46 CTO $349.48,0.2 CTO ,0.3 CTO , ,0.2 CTO $891.34, 
 50, 250, ,0.42 CTO $384.43, , $566.08, ,0.15 CTO $952.52, 
 56, 280, ,0.38 CTO $446.18, ,0.2 CTO , ,0.12 CTO "$1, 105.05", 
 60, 300, ,0.3 CTO , , , ,0.13 CTO "$1, 173.33", 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , ,0.13 CTO , 
