PERNO HEXAGONAL PULGADA UNF - GR. 8 PAVONADO,,,,,,,,,,
 , , E2705, E2706, E2707, E2708, E2709, E2710, E2712, E2714, E2716
CÓD. 03,LARGO "3/4""","Ø 5/16""" $7.53,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 9/16""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
 04, "1""",16 CTO $8.63, $11.88, $16.47, $25.48, , , , , 
 05, "1 1/4""",20 CTO ,12.98 CTO $13.84,10 CTO $20.70,6.5 CTO , , , , , 
 06, "1 1/2""", $10.80,11 CTO $15.72,6 CTO $22.68, $32.50, $42.36, $53.75, , , 
 08, "2""",14 CTO $14.49,9.65 CTO $20.02,7.05 CTO $27.46,5 CTO $40.30,4 CTO $48.72,2.2 CTO $61.48, $94.51, , 
 10, "2 1/2""",13 CTO ,5.7 CTO $24.73,5.58 CTO $32.89,4 CTO $48.24,3.16 CTO $58.95,2.5 CTO $73.88,1.6 CTO $110.18, , 
 12, "3""", ,4 CTO $30.60,3.5 CTO $40.67,3.32 CTO $56.62,2.4 CTO $72.85,2.1 CTO $85.16,1.3 CTO $127.61, , 
 14, "3 1/2""", ,3.5 CTO ,4 CTO ,2.88 CTO $66.97,2.3 CTO $85.66,1.7 CTO $100.09,1.16 CTO $145.28, , $327.16
 16, "4""", , , $56.60,1.9 CTO $78.98,2 CTO $100.37,1.5 CTO $113.29,1.05 CTO $159.70, $273.74,0.52 CTO $357.88
 20, "5""", , ,3 CTO ,1.7 CTO $129.94,1.6 CTO $118.57,1.3 CTO $130.41,0.9 CTO $203.05,0.65 CTO $328.21,0.5 CTO $428.62
 24, "6""", , , ,1.3 CTO ,1.4 CTO ,1.1 CTO $171.50,0.75 CTO $235.45,0.55 CTO $370.73,0.4 CTO $472.98
 32, "8""", , , , , ,0.95 CTO ,0.4 CTO ,0.45 CTO ,0.34 CTO $633.78
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , , , ,0.2 CTO 
