PERNO HEXAGONAL MÉTRICO RF - CL. 10.9 PAVONADO,,,,,,,,,,,
 , , M2750, M2710, M2762, M2712, M2714, M2716, M2718, M2720, , 
CÓD. 05,LARGO 25,M10 X 1.00 $17.51,M10 X 1.25 $18.53,M12 X 1.25 $21.94,M12 X 1.50 $23.18,M14 X 1.50 ,M16 X 1.50 ,M18 X 1.50 ,M20 x 1.50 ,M22 x 1.50 ,M24 x 1.50 
 06, 30,CTO ,10 CTO $21.09,7.3 CTO $24.21,7 CTO $27.47, $37.29, , , , , 
 07, 35, ,9 CTO $21.52,7.15 CTO $26.81,6.5 CTO $27.95,4.3 CTO $40.67, , , , , 
 08, 40, ,8.5 CTO $21.66,5.5 CTO $28.97,6 CTO $29.41,4 CTO $40.80, $57.40, , , , 
 09, 45, ,8 CTO $23.42,5.5 CTO $31.06,5 CTO $34.36,3.7 CTO $46.83,2.5 CTO $64.71, , , , 
 10, 50, ,7 CTO $24.18,5.4 CTO $33.34,5 CTO $36.67,3.4 CTO $48.04,2.55 CTO $65.43, $87.45, , , 
 12, 60, ,6.5 CTO $28.78,4.5 CTO $40.18,4.5 CTO $41.38,3.25 CTO $56.09,2.4 CTO $77.08,1.8 CTO $108.94, $124.08, , 
 14, 70, ,5.5 CTO $32.60,3.95 CTO $44.86,4 CTO $48.39,2.7 CTO $63.27,2.2 CTO $90.42,CTO ,1.25 CTO , , 
 16, 80, ,4.5 CTO $36.50,3.5 CTO $50.28,3.5 CTO $54.22,2.5 CTO $70.40,1.8 CTO $96.31, , $163.10, , 
 18, 90, ,3.8 CTO $39.93,3 CTO $56.01,3 CTO $59.25,2.2 CTO $77.95,1.65 CTO $111.43, ,1 CTO , , 
 20, 100, ,4.15 CTO $44.66,2.8 CTO $61.25,2.8 CTO $63.01,2 CTO $85.08,1.5 CTO $115.23, $148.39, $185.86, , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,3.5 CTO ,2.5 CTO ,2.3 CTO ,1.8 CTO ,1.4 CTO ,1 CTO ,0.8 CTO , , 
