TUERCA HEXAGONAL PULGADAS,,,,,,,,,,,
 PAVONADA, , , , , , , , CINCADA, , , 
 CÓD., Ø,E0200 UNC - GR. 2,E0500 UNC - GR. 5,E0800 UNC - GR. 8,E0202 UNF - GR. 2,E0502 UNF - GR. 5,E0802 UNF - GR. 8, CÓD., Ø,E02 UNC - GR. 2,E0206 UNF - GR. 2
04 ,"1/4""" ,$1.39 80 CTO,$1.73 58 CTO, , , , ,0304 ,"1/4""" ,$1.55 80 CTO, 
05 ,"5/16""" ,$2.04 50 CTO,$2.62 50 CTO,$2.62 50 CTO,$2.25 50 CTO, ,$2.97 55 CTO,0305 ,"5/16""" ,$2.31 50 CTO, 
06 ,"3/8""" ,$3.06 35 CTO,$3.66 36 CTO,$3.96 36 CTO,$3.06 36 CTO, ,$4.04 36 CTO,0306 ,"3/8""" ,$3.43 35 CTO, 
07 ,"7/16""" ,$5.64 20 CTO,$6.73 20 CTO,$6.99 20 CTO,$5.66 20 CTO, ,$7.12 20 CTO,0307 ,"7/16""" ,$6.40 20 CTO, 
08 ,"1/2""" ,$7.26 16 CTO,$8.37 15 CTO,$9.13 15 CTO,$7.33 15 CTO, ,$9.59 20 CTO,0308 ,"1/2""" ,$8.09 15 CTO, 
09 ,"9/16""" ,$11.40 9.5 CTO,$13.79 10 CTO,$14.84 9.5 CTO,$12.14 10 CTO, ,$15.02 10 CTO,0409 ,"9/16""" ,$11.40 2 CTO, 
10 ,"5/8""" ,$14.54 8 CTO,$16.69 8 CTO,$18.27 8 CTO,$15.05 8 CTO, ,$18.50 8 CTO,0310 ,"5/8""" ,$15.72 8 CTO, 
12 ,"3/4""" ,$23.08 5 CTO,$28.32 5 CTO,$28.33 5 CTO,$22.66 5 CTO, ,$29.67 5 CTO,0312 ,"3/4""" ,$25.49 5 CTO, 
14 ,"7/8""" ,$37.67 3 CTO,$43.64 3 CTO,$47.24 3 CTO,$38.53 3 CTO, ,$48.59 2.5 CTO,0314 ,"7/8""" ,$42.88 3 CTO, 
16 ,"1""" ,$53.82 2 CTO,$63.05 2 CTO,$69.63 2 CTO,$57.36 2 CTO, ,$69.66 2 CTO,0316 ,"1""" ,$60.09 2 CTO, 
20 ,"1 1/8""" ,$98.93 1.3 CTO, ,$108.86 1 CTO,$95.00 1 CTO, ,$241.86 1 CTO,0420 ,"1 1/8""" ,$110.97 1.3 CTO, 
22 ,"1 1/4""" ,$131.45 0.9 CTO, ,$155.26 1 CTO,$131.09 1 CTO, ,$282.20 1 CTO,0422 ,"1 1/4""" ,$144.15 0.9 CTO, 
24 ,"1 3/8""" ,$188.41 0.8 CTO, , , , , ,0424 ,"1 3/8""" ,$203.51 0.8 CTO, 
26 ,"1 1/2""" ,$224.96 0.55 CTO, ,$261.85 0.6 CTO, , ,$511.05 0.6 CTO,0426 ,"1 1/2""" ,$245.66 0.55 CTO, 
28 ,"1 3/4""" ,$376.42 0.25 CTO, , , , , ,0428 ,"1 3/4""" ,$421.02 0.25 CTO, 
30 ,"2""" ,$534.27 0.25 CTO, ,$610.85 0.25 CTO, , , ,0430 ,"2""" ,$624.54 0.25 CTO, 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,,
