TUERCAS Y ARANDELAS MÉTRICAS,,,,,,,,,
 , , "HEXAGONAL
CL. 5.8 RC
TROP." CL. 8.8
RC PAV.", "SEGURO
NYLON RC", "TUERCA
MARIPOSA" PRESIÓN","ARANDELA "ARANDELA
PLANA" ARANDELA
PLANA (MM.)", 
CÓD. 05,Ø Ø M5,M0203 $0.51,M0500 ,M0100 ,M0900 ,M1409 $0.25,M1209 ,Ø EXT. ,ESPESOR 
 06, Ø M6,180 CTO $1.10, $1.05, $1.43, $5.03,541.4 CTO $0.52, $0.55, 11.80, 1.50
 08, Ø M8,120 CTO $2.50,119 CTO $2.86,122 CTO $3.06,50 CTO $5.72,235 CTO $0.98,CTO $0.96, 15.80, 1.80
 10, Ø M10,54 CTO $5.35,54 CTO $5.16,50 CTO $7.27,30 CTO $9.00,132.4 CTO $1.44,CTO $1.70, 19.80, 2.00
 12, Ø M12,21 CTO $8.54,24 CTO $7.71,24 CTO $10.05,20 CTO ,85 CTO $2.31,CTO $3.14, 23.70, 2.40
 14, Ø M14,14 CTO ,16 CTO $10.94,16 CTO $15.72, ,52.6 CTO $3.56,CTO $4.99, 27.80, 2.70
 16, Ø M16, ,11 CTO $14.74,10 CTO $20.91, ,35 CTO $5.23,CTO $6.04, 29.80, 2.80
 18, Ø M18, ,8 CTO $20.72,8 CTO $33.48, ,23.2 CTO ,CTO $8.24, 33.80, 3.00
 20, Ø M20, ,5.5 CTO $26.48,5 CTO $41.18, , $8.76,CTO $9.59, 36.80, 2.70
 22, Ø M22, ,4.5 CTO $31.92,4 CTO , ,12 CTO $9.79,CTO $8.93, 38.70, 3.00
 24, Ø M24, ,3 CTO $43.94, $75.40, ,8.5 CTO $15.32,CTO $16.47, 43.60, 4.00
 27, Ø M27, ,2.5 CTO $72.22,2 CTO , ,9.8 CTO ,CTO $22.09, 49.50, 4.00
 30, Ø M30, ,1.8 CTO $103.07, , , $25.52,CTO $28.30, 55.00, 3.80
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,1.2 CTO , , ,4.8 CTO ,CTO , , 
