TUERCAS MÉTRICAS RF,,,,
 , , "HEXAGONAL
CL. 8.8 RF", "HEXAGONAL
CL. 10.9 RF", "SEGURO
NYLON RF"
CÓD. 0208,Ø M8 X 1.00,M05 $2.86,M08 ,M01 
 5210, M10 X 1.00,55 CTO $5.64, , 
 0210, M10 X 1.25,24 CTO $5.16, , $7.27
 8210, M10 X 1.25 (E14),24 CTO $5.39, ,24.5 CTO 
 5211, M12 X 1.00,24 CTO $9.17, , 
 5212, M12 X 1.25,16 CTO $7.71, , $11.15
 0212, M12 X 1.50,17 CTO $7.71, ,15 CTO $11.15
 0214, M14 X 1.50,16 CTO $10.94, ,16 CTO $15.72
 0216, M16 X 1.50,12 CTO $14.74, ,10 CTO $20.91
 0218, M18 X 1.50,8.5 CTO $20.72, ,8 CTO $33.48
 0219, M19 X 1.50,6 CTO , $35.90,5 CTO 
 0220, M20 X 1.50, ,4 CTO $33.67, $41.18
 0222, M22 X 1.50, ,4.5 CTO $41.51,4 CTO $52.47
 0227, M27 X 1.50, ,3.7 CTO $95.84,2.5 CTO 
 0224, M24 X 1.50, ,CTO $57.63, $75.40
 0230, M30 X 1.50, ,2.5 CTO $133.91,2 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,CTO , 
