TUERCAS CON SEGURO PULGADAS,,,,,,
 NYLON PULGADA, , , , PRISIONERA PULGADA, , 
 CÓD., Ø,E0100 UNC,E0102 UNF, CÓD., Ø,E0110 UNC
04 ,"Ø 1/4""" ,$2.38 66.5 CTO, ,04 ,"Ø 1/4""" ,$3.89 83 CTO
05 ,"Ø 5/16""" ,$3.33 50 CTO, ,05 ,"Ø 5/16""" , 
06 ,"Ø 3/8""" ,$5.37 30 CTO,$5.48 30 CTO,06 ,"Ø 3/8""" ,$8.43 30 CTO
07 ,"Ø 7/16""" ,$6.91 17 CTO,$6.68 25 CTO,07 ,"Ø 7/16""" , 
08 ,"Ø 1/2""" ,$12.91 12.5 CTO,$13.72 12.5 CTO,08 ,"Ø 1/2""" ,$19.84 14 CTO
09 ,"Ø 9/16""" ,$18.81 8 CTO,$20.28 8 CTO,09 ,"Ø 9/16""" , 
10 ,"Ø 5/8""" ,$26.41 6 CTO,$26.86 6 CTO,10 ,"Ø 5/8""" ,$36.66 8 CTO
12 ,"Ø 3/4""" ,$35.31 4 CTO,$36.51 4 CTO,12 ,"Ø 3/4""" ,$65.44 4.5 CTO
14 ,"Ø 7/8""" ,$56.56 2.5 CTO,$57.96 2 CTO,14 ,"Ø 7/8""" , 
16 ,"Ø 1""" ,$85.47 2 CTO,$85.55 2 CTO,16 ,"Ø 1""" ,$151.36 1.9 CTO
6216 ,"Ø 1"" - 12 H/P" , , ,6216 ,"Ø 1"" - 12 H/P" , 
20 ,"Ø 1 1/8""" ,$135.74 1 CTO, ,20 ,"Ø 1 1/8""" , 
22 ,"Ø 1 1/4""" ,$201.15 0.8 CTO, ,22 ,"Ø 1 1/4""" , 
26 ,"Ø 1 1/2""" ,$352.67 0.5 CTO, ,26 ,"Ø 1 1/2""" , 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
