ARANDELA PRESIÓN PULGADA,,,,,,,
 , , E1400, E1404, , E1401, E1405, 
CÓD. KG.",Ø "ZINCADO
KG." CIENTO",CANT. X KG. "ZINCADO
CIENTO" 03,CANT. "3/16""", , , "3, 241", , , 
 04, "1/4""", $5.27, $5.62, 961, $0.59, $0.64, 
 05, "5/16""",25 KGS $5.27,25 KGS $5.62, 546,0 CTO $1.05,0 CTO $1.13, 
 06, "3/8""",25 KGS $5.27,25 KGS $5.62, 355,0 CTO $1.62,0 CTO $1.73, 
 07, "7/16""",25 KGS $5.27,25 KGS $5.62, 231,0 CTO $2.48,0 CTO $2.68, 
 08, "1/2""",25 KGS $5.27,25 KGS $5.62, 170,0 CTO $3.36,0 CTO $3.63, 
 09, "9/16""",25 KGS $5.27,25 KGS $5.62, 130,0 CTO $4.40,0 CTO $4.76, 
 10, "5/8""",25 KGS $5.27,25 KGS $5.62, 94,0 CTO $6.09,0 CTO $6.57, 
 12, "3/4""",25 KGS $5.27,25 KGS $5.62, 59,0 CTO $9.70,0 CTO $10.47, 
 14, "7/8""",25 KGS $5.27,25 KGS $5.62, 37,0 CTO $15.47,0 CTO $16.70, 
 16, "1""",25 KGS $5.27,25 KGS $5.62, 26,0 CTO $22.02,0 CTO $23.77, 
 20, "1 1/8""",25 KGS $6.14,25 KGS , ,0 CTO $33.62,0 CTO , 
 22, "1 1/4""",25 KGS $6.14, , ,0 CTO $42.75, , 
 24, "1 3/8""",25 KGS $6.14, , ,0 CTO $45.80, , 
 26, "1 1/2""",25 KGS $6.14, , ,0 CTO $71.25, , 
 28, "1 3/4""",25 KGS $6.14, , ,0 CTO $80.16, , 
 30, "2""",25 KGS $6.14, , ,0 CTO $91.60, , 
 PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV), ,25 KGS , , ,0 CTO , , 
