ARANDELA PLANA MÉTRICA TROPICALIZADA,,,,,,,"ARANDELA PRESIÓN
 MÉTRICA", 
 CÓD., Ø,M1200 "SIN ZINCAR
KG." 05,CANT. X KG. M5,Ø INT. ,Ø EXT. "1,ESP. 099",KG. 6.40,CIENTO 12.00, 1.50, $6.08, $0.25
 06, M6, $6.04, "1, 099", 6.40, 12.00,KGS 1.50,541.4 CTO $6.08, $0.52
 08, M8,24600 KGS $6.04, 639, 8.40, 16.00, 1.50,KGS $6.08,235 CTO $0.98
 10, M10,14800 KGS $6.04, 355, 10.50, 19.50, 2.00,KGS $6.08,132.4 CTO $1.44
 12, M12,8000 KGS $6.04, 186, 13.00, 23.50, 2.50,KGS $6.08,85 CTO $2.31
 14, M14,4000 KGS $6.04, 121, 15.00, 28.00, 2.50,KGS $6.08,52.6 CTO $3.56
 16, M16,3000 KGS $6.04, 112, 17.00, 29.50, 3.00,KGS $6.08,35 CTO $5.23
 18, M18,2500 KGS $6.04, 74, 19.00, 33.50, 3.00,KGS ,23.2 CTO 
 20, M20,1800 KGS $6.04, 65, 21.00, 36.00, 3.00, $6.08, $8.76
 22, M22,1400 KGS $6.04, 68, 23.00, 38.50, 3.00,KGS $6.08,12 CTO $9.79
 24, M24,1485 KGS $6.04, 37, 25.00, 43.50, 4.00,KGS $6.08,8.5 CTO $15.32
 27, M27,900 KGS $6.04, 28, 28.00, 49.50, 4.00,KGS ,9.8 CTO 
 30, M30,700 KGS $6.04, 22, 31.00, 55.50, 4.00, $6.08, $25.52
 PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV), ,500 KGS , , , , ,KGS ,4.8 CTO 
