PERNO CAB. COCHE ZINCADO,,,,,,
 , , E2904, E2905, E2906, E2908, E2910
CÓD. 03,LARGO "3/4""","Ø 1/4""" $3.73,"Ø 5/16""" $6.40,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" 
 04, "1""",36 CTO $4.04,22 CTO $6.89, $11.20, $23.12, 
 05, "1 1/4""",32 CTO $4.94,18.5 CTO $8.25,12.5 CTO $12.74,5.5 CTO $24.91, 
 06, "1 1/2""",27 CTO $5.25,16 CTO $8.47,11 CTO $13.44,5.3 CTO $27.20, 
 08, "2""",24 CTO $6.30,15 CTO $10.55,9 CTO $16.35,4.8 CTO $33.21, 
 10, "2 1/2""",17 CTO $7.50,13 CTO $12.19,8.2 CTO $19.53,4 CTO $36.93, $60.13
 12, "3""",17 CTO $8.56,10 CTO $14.02,6.5 CTO $21.28,3 CTO $42.42,1.9 CTO $69.76
 13, "3 1/4""",10 CTO $9.00,8.5 CTO ,6 CTO ,2.5 CTO ,1.75 CTO 
 14, "3 1/2""",8.5 CTO $9.90, $16.00, $23.55, $49.98, 
 16, "4""",13 CTO $11.01,7 CTO $17.97,4.5 CTO $26.13,2.15 CTO $55.05, $88.26
 18, "4 1/2""",6 CTO $12.77,6.5 CTO $21.95,4.7 CTO $31.38,2 CTO $59.55,1.3 CTO 
 20, "5""",5 CTO $13.31,6 CTO $22.62,4 CTO $31.98,1.7 CTO $63.09, $100.72
 22, "5 1/2""",5 CTO $15.17,5.5 CTO $25.88,3.8 CTO $36.07,2.06 CTO ,1.25 CTO 
 24, "6""",6 CTO $16.01,3 CTO $26.41,3.5 CTO $36.79, $69.27, $117.48
 28, "7""",7 CTO ,4.98 CTO $32.21,3.3 CTO $42.09,1.77 CTO $82.31,1.09 CTO $139.77
 32, "8""", ,4.2 CTO $35.81,2 CTO $49.03,1.25 CTO $99.37,1 CTO $154.84
 36, "9""", ,3.8 CTO ,2 CTO $54.29,1.25 CTO $106.71,0.9 CTO 
 40, "10""", , ,2 CTO $65.58,1.2 CTO $117.63, 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,2 CTO ,1.1 CTO , 
