PERNO CAB. COCHE PAVONADO,,,,
 , , E2954, E2955, E2958
CÓD. 03,LARGO "3/4""","Ø 1/4""" ,"Ø 5/16""" ,"Ø 1/2""" 
 04, "1""", , , 
 05, "1 1/4""", , $7.06, 
 06, "1 1/2""", ,16 CTO $8.51, $28.69
 08, "2""", $6.38,14 CTO $10.22,4.25 CTO 
 10, "2 1/2""",20 CTO $7.74,12 CTO $11.76, 
 12, "3""",13 CTO $9.61,9.1 CTO $13.81, 
 13, "3 1/4""",9.5 CTO ,6.5 CTO , 
 14, "3 1/2""", $10.55, $17.70, 
 16, "4""",12 CTO $12.21,6.8 CTO , 
 18, "4 1/2""",11 CTO , , 
 20, "5""", , $20.43, 
 22, "5 1/2""", ,5.8 CTO , 
 24, "6""", , , 
 28, "7""", , , 
 32, "8""", , , 
 36, "9""", , , 
 40, "10""", , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , 
