TIRAFÓN HEXAGONAL PARA MADERA - ZINCADO,,,,,,
 , , E6004, E6005, E6006, E6008, E6010
CÓD. 03,LARGO "3/4""","Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" 
 04, "1""", $3.35, $7.49, $10.11, , 
 05, "1 1/4""",30 CTO ,22 CTO ,16 CTO , , 
 06, "1 1/2""", $4.34, $7.55, $11.52, , 
 08, "2""",25 CTO $5.59,15 CTO $10.44,12.5 CTO $14.04, $27.77, 
 10, "2 1/2""",21 CTO $7.16,15 CTO $12.17,9 CTO $17.48,5.5 CTO $32.93, 
 12, "3""",13 CTO $7.89,11 CTO $12.38,7.5 CTO $19.48,5 CTO $40.60, 
 13, "3 1/4""",14 CTO ,9.5 CTO ,7 CTO ,3.5 CTO , 
 14, "3 1/2""", $9.77, $15.61, , , 
 16, "4""",12 CTO $10.97,8.5 CTO $17.37, $24.76, $48.98, $89.43
 18, "4 1/2""",10 CTO $12.40,7.5 CTO $20.69,5.5 CTO $30.93,2.8 CTO $54.54,1.8 CTO 
 20, "5""",9.5 CTO $13.11,6 CTO $21.00,5 CTO $31.23,2.7 CTO $58.21, $107.96
 22, "5 1/2""",8.5 CTO $16.01,6.3 CTO ,4.5 CTO ,2.5 CTO ,1.4 CTO 
 24, "6""",8 CTO $16.46, $26.82, $36.56, $74.62, $123.23
 28, "7""",7.5 CTO ,5.5 CTO ,3.8 CTO $46.81,1.5 CTO $85.46,1.3 CTO 
 32, "8""", , ,3.3 CTO $56.07,1.65 CTO $101.95, 
 36, "9""", , ,2.8 CTO ,1.5 CTO , 
 40, "10""", , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , 
