STOVE BOLT MÉTRICO CAB. CILÍNDRICA,,,,,
 , , M7203, M7204, M7205, M7206
CÓD. 03,LARGO 5,Ø M3 ,Ø M4 $8.24,Ø M5 $15.21,M6 $24.30
 05, 10, $8.24,18 MLL $9.55,10 MLL $15.65,6 MLL $25.24
 06, 12,25 MLL ,12 MLL $10.95,9 MLL $18.83,6 MLL $26.57
 08, 16, $9.82,15 MLL $14.07,8 MLL $22.01,4 MLL $29.25
 10, 20,23 MLL $10.67,12 MLL $15.16,8 MLL $23.33,4.5 MLL $33.71
 12, 25,22 MLL $12.46,12 MLL $15.88,6 MLL $25.78,4 MLL $39.39
 15, 30,19 MLL $15.10,10 MLL $18.71,5 MLL $31.67,4 MLL $43.84
 20, 40,16 MLL ,8 MLL $23.54,4.5 MLL $37.02,2.7 MLL $53.97
 25, 50, ,6 MLL $27.00,2 MLL $46.21,2.5 MLL $63.83
 30, 60, ,4 MLL $32.96,3 MLL $53.14,2 MLL $72.79
 40, 80, ,4 MLL ,3 MLL $65.28,2 MLL $94.58
 50, 100, , ,2 MLL $83.85,1 MLL $113.52
 PRECIO DE VENTA POR MILLAR (INCLUYE IGV), , , ,1.7 MLL ,1 MLL 
