"TORNILLO AUTOPERFORANTE CAB. HEX. CON
 ARANDELA", , , , , 
 CÓD., LARGO,E6858 #8,E6860 #10,E6862 #12,E6864 #14
08 ,"1/2""" ,$2.29 80 CTO, , , 
12 ,"3/4""" ,$2.42 40 CTO,$2.97 40 CTO,$3.45 32 CTO,$4.89 30 CTO
16 ,"1""" ,$3.04 40 CTO,$3.48 30 CTO,$3.74 30 CTO,$5.20 30 CTO
26 ,"1 1/2""" ,$3.76 30 CTO,$4.17 30 CTO,$5.19 36 CTO,$6.35 28 CTO
32 ,"2""" ,$5.88 20 CTO,$5.02 16 CTO,$5.83 16 CTO,$7.27 24 CTO
34 ,"2 1/2""" , ,$5.69 16 CTO,$6.81 18 CTO,$9.72 8 CTO
36 ,"3""" , ,$6.62 16 CTO,$8.45 10 CTO,$10.71 8 CTO
56 ,"3 1/2""" , , , ,$12.70 12 CTO
64 ,"4""" , , , ,$13.39 10 CTO
80 ,"5""" , , , ,$16.14 8 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
