TORNILLO DRYWALL CORNETA,,,,
 , , FOSFATIZADO, , ZINCADO
 , ,PUNTA FINA E8006,PUNTA BROCA E8106,PUNTA BROCA E8156
CÓD. 16,LARGO "1""",#6 $8.57,#6 $12.78,#6 $10.81
 24, "1 1/4""",12 MLL $11.51,12 MLL $14.76,12 MLL $13.90
 25, "1 3/8""",9 MLL $12.44,10 MLL $16.33,8 MLL $16.30
 26, "1 1/2""",9 MLL $12.92,8 MLL $16.96,8 MLL $16.84
 28, "1 3/4""",8 MLL $15.23,7 MLL $20.36,12 MLL $19.55
 32, "2""",6 MLL $15.54,5 MLL $19.80,5 MLL $21.09
 34, "2 1/2""",4 MLL $21.69,4 MLL $28.24,4 MLL 
 36, "3""",4 MLL $25.38,3 MLL $31.69, 
 PRECIO DE VENTA POR MILLAR (INCLUYE IGV), ,3 MLL ,2 MLL , 
