PERNO SOCKET PULGADA CAB. CILÍNDRICA UNC - GR. 8,,,,,,
 , , E3603, E3604, E3605, E3606, E3607
CÓD. 01,LARGO "3/8""","Ø 3/16""" $3.22,"Ø 1/4""" $4.83,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" 
 02, "1/2""",100 CTO $3.82,50 CTO $5.63, $10.24, $14.92, 
 021, "5/8""",70 CTO ,35 CTO $6.18,20 CTO $12.27,15 CTO $16.65, 
 03, "3/4""", $4.41,40 CTO $6.56,20 CTO $13.40,3.9 CTO $20.47, $39.16
 04, "1""",60 CTO $5.20,30 CTO $8.58,15 CTO $12.14,12 CTO $22.93,7 CTO $44.99
 05, "1 1/4""",50 CTO $6.41,30 CTO $9.52,13 CTO $14.61,10 CTO $25.88,6 CTO $51.79
 06, "1 1/2""",50 CTO $7.34,28 CTO $10.82,15 CTO $15.87,7 CTO $29.18,5 CTO $55.18
 08, "2""",46 CTO $9.61,20 CTO $14.92,9 CTO $21.70,6.5 CTO $34.86,5 CTO $68.75
 10, "2 1/2""",35 CTO ,10 CTO $18.59,7.5 CTO $29.57,5 CTO $44.52,3.5 CTO $87.72
 12, "3""", ,10 CTO $22.03,8 CTO $36.71,4 CTO $46.83,4 CTO $97.72
 14, "3 1/2""", ,10 CTO ,7 CTO $42.26,4.5 CTO $53.88,4 CTO 
 16, "4""", , ,3.5 CTO $48.11,2.5 CTO $62.26, 
 18, "4 1/2""", , ,3.5 CTO ,2 CTO , 
 20, "5""", , , , , 
 24, "6""", , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , 
