PERNO SOCKET MÉTRICO CAB. CILÍNDRICA RC - CL. 12.9,,,,,,
 , , M3604, M3605, M3606, M3607, M3608
CÓD. 02,LARGO 12,Ø M4 $3.27,Ø M5 $4.44,Ø M6 $5.61,Ø M7 ,Ø M8 $12.02
 03, 16,100 CTO $3.99,55 CTO $4.76,40 CTO $6.11, ,18 CTO $14.63
 04, 20,100 CTO $4.35,50 CTO $5.68,32 CTO $7.19, $9.04,15 CTO $16.45
 05, 25,80 CTO $5.07,40 CTO $6.51,30 CTO $8.24,CTO ,15 CTO $18.40
 06, 30,70 CTO $5.98,30 CTO $7.13,25 CTO $8.78, ,13 CTO $20.46
 07, 35,60 CTO $6.70,30 CTO $8.59,17 CTO $10.62, ,10 CTO $22.54
 08, 40,40 CTO ,23 CTO $9.83,20 CTO $11.22, ,10 CTO $25.25
 09, 45, ,20 CTO $11.35,12 CTO $13.06, ,8 CTO $24.14
 10, 50, ,15 CTO $12.87,12 CTO $13.66, ,10 CTO $26.38
 12, 60, ,12 CTO $15.92,10 CTO $16.11, ,6 CTO $30.54
 14, 70, ,8 CTO $18.55,9 CTO $18.22, ,5.5 CTO $34.69
 16, 80, ,6.5 CTO ,7 CTO $21.70, ,6 CTO $39.07
 18, 90, , $21.18,10 CTO , ,5 CTO $43.22
 20, 100, ,4 CTO , , ,5 CTO $50.10
 22, 110, , , , ,2.5 CTO 
 24, 120, , , , , 
 26, 130, , , , , 
 28, 140, , , , , 
 30, 150, , , , , 
 32, 160, , , , , 
 36, 180, , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , 
