PERNO SOCKET PULGADA CAB. AVELLANADA UNC - GR. 8,,,,,,,,
 , , E4803, E4804, E4805, E4806, E4808, E4810, E4812
CÓD. 02,LARGO "1/2""","Ø 3/16""" $4.72,"Ø 1/4""" $5.78,"Ø 5/16""" $8.97,"Ø 3/8""" $13.09,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" 
 021, "5/8""",100 CTO $5.07,50 CTO $6.73,30 CTO ,20 CTO , , , 
 03, "3/4""",80 CTO $5.90,50 CTO $7.87, $10.18, $16.46, $27.55, , 
 04, "1""",70 CTO $7.55,40 CTO $11.17,20 CTO $12.47,15 CTO $19.40,8 CTO $34.27, , 
 05, "1 1/4""",50 CTO $9.09,30 CTO $11.46,20 CTO $15.80,10 CTO $24.01,7 CTO , , 
 06, "1 1/2""",30 CTO $11.33,25 CTO $15.02,15 CTO $17.31,10 CTO $26.38, $45.43, $88.28, 
 08, "2""",40 CTO $15.10,20 CTO $18.14,13 CTO $25.12,10 CTO $33.15,5 CTO $57.87,2 CTO $109.01, $196.97
 10, "2 1/2""",0 CTO ,10 CTO $22.79,8.5 CTO $31.14,6 CTO $44.92,5 CTO $73.58,2.4 CTO $145.05,1.5 CTO $237.82
 12, "3""", ,12 CTO $27.60,8 CTO $37.56,5 CTO $53.83,3 CTO $87.03,2 CTO $152.86,1.25 CTO $280.76
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,10 CTO ,7 CTO ,5 CTO ,2.5 CTO ,2 CTO ,1.2 CTO 
