PERNO SOCKET MÉTRICO CAB. AVELLANADA RC - CL. 10.9,,,,,,
 , , M4804, M4805, M4806, M4808, M4810
CÓD. 02,LARGO 12,Ø M4 $3.37,Ø M5 $4.72,Ø M6 $3.61,Ø M8 ,Ø M10 
 03, 16,150 CTO $3.89,100 CTO $5.84,60 CTO $4.33, $8.65, 
 04, 20,100 CTO $4.67,70 CTO $6.63,50 CTO $5.17,28 CTO $9.79, $17.48
 05, 25,100 CTO $5.71,60 CTO $8.28,45 CTO $6.84,21 CTO $11.82,13 CTO $22.44
 06, 30,80 CTO $7.07,50 CTO $9.62,35 CTO $7.92,17 CTO $14.16,12 CTO $26.00
 07, 35,60 CTO ,20 CTO $11.67,30 CTO $8.18,15 CTO $15.28,10 CTO $25.45
 08, 40, ,20 CTO $13.53,20 CTO $11.14,15 CTO $18.17,10 CTO $32.67
 09, 45, ,20 CTO $15.86,19.5 CTO $11.06,15 CTO ,9 CTO $33.10
 10, 50, ,30 CTO $17.50,20 CTO $12.98, $23.68,8 CTO $37.75
 12, 60, ,25 CTO ,10 CTO ,12 CTO ,6.5 CTO $45.55
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,5 CTO 
