PERNO SOCKET PULGADA CAB. BUTTON UNC - GR. 8,,,,,
 , , E4003, E4004, E4005, E4006
CÓD. 01,LARGO "3/8""","Ø 3/16""" $4.53,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" 
 02, "1/2""",100 CTO $5.66, $6.02, , 
 021, "5/8""",80 CTO $6.51,45 CTO $5.66, , 
 03, "3/4""",64 CTO $7.36,40 CTO $5.83, $11.94, 
 04, "1""",64 CTO $9.63,25 CTO $7.82,20 CTO $14.24, $25.16
 05, "1 1/4""",40 CTO $11.33,25 CTO ,15 CTO $16.39,10 CTO 
 06, "1 1/2""",32 CTO $13.03, $10.77,20 CTO , $33.69
 08, "2""",25 CTO $16.99,15 CTO $13.85, ,7 CTO $41.76
 10, "2 1/2""",16 CTO ,10 CTO , ,4 CTO 
 12, "3""", , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , 
