PRISIONERO ALLEN PULGADA UNC - GR. 8,,,,,,,,
 , , E3803, E3804, E3805, E3806, E3807, E3808, E3810
CÓD. 03,LARGO "3/16""","Ø 3/16""" $1.99,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" 
 04, "1/4""",410 CTO $3.48, $2.61, , , , , 
 05, "5/16""",550 CTO ,220 CTO , $3.91, , , , 
 06, "3/8""", $5.06, $3.91,110 CTO $4.94, $7.36, , , 
 08, "1/2""",300 CTO $6.96,110 CTO $5.62,88 CTO $7.58,65 CTO $10.77, $13.00, $14.15, 
 10, "5/8""",200 CTO $9.49,137 CTO $7.39,45 CTO $9.42,30 CTO $14.18,40 CTO $18.04,35 CTO $20.11, $35.98
 12, "3/4""",100 CTO $11.39,80 CTO $9.17,40 CTO $12.13,23 CTO $18.12,26 CTO $20.11,19 CTO $25.03,7.2 CTO $47.97
 16, "1""",76 CTO $15.17,44 CTO $12.41,35 CTO $17.16,18 CTO $24.01,20 CTO $31.87,10 CTO $38.95,7.2 CTO $66.48
 24, "1 1/4""",40 CTO $19.60,25 CTO $16.25,20 CTO $22.10,20 CTO $30.34,8 CTO ,7 CTO $49.11,5 CTO $88.90
 26, "1 1/2""",43 CTO ,20 CTO $19.21,13 CTO $27.03,11 CTO $35.99, $50.65,10 CTO $60.31,3.7 CTO $108.97
 32, "2""", ,12 CTO ,13 CTO $37.43,11 CTO $47.98,8 CTO ,4.4 CTO $84.06,4 CTO $150.16
 34, "2 1/2""", , ,8 CTO ,8 CTO $61.62, ,3.5 CTO $107.13,3 CTO $190.82
 36, "3""", , , ,8 CTO , ,5 CTO $129.75,2.5 CTO $231.75
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , ,2.5 CTO ,2.5 CTO 
