PRISIONERO ALLEN MÉTRICO RC - CL. 14.9,,,,,,,
 , , M3804, M3805, M3806, M3808, M3810, M3812
CÓD. 02,LARGO 10,Ø M4 $3.30,Ø M5 $2.83,Ø M6 $3.47,Ø M8 $3.89,Ø M10 ,Ø M12 
 03, 16,150 CTO $4.25,130 CTO $5.31,150 CTO $6.35,110 CTO $6.74, $12.99, $18.49
 04, 20,130 CTO $5.66,90 CTO $7.08,100 CTO $8.37,40 CTO $9.02,45 CTO $17.10,15 CTO $24.80
 05, 25,100 CTO $7.55,60 CTO $9.20,80 CTO $10.68,25 CTO $12.02,30 CTO $22.51,10 CTO $32.70
 06, 30,70 CTO $9.44,46 CTO $11.33,65 CTO $13.28,18 CTO $14.33,22 CTO $27.48,8 CTO $40.58
 07, 35,70 CTO ,55 CTO ,27 CTO $15.58,16 CTO $16.98,13 CTO $32.46,15 CTO $48.25
 08, 40, , ,20 CTO $18.17,16 CTO $19.80,13 CTO $37.88,12 CTO $57.04
 09, 45, , ,18 CTO ,15 CTO ,10 CTO ,9 CTO $64.70
 10, 50, , , , , $48.91,8 CTO $72.15
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,5.5 CTO ,7.5 CTO 
