PERNO DE EXPANSIÓN,,,,,,,
 , , D0104, D0106, D0108, D0110, D0112, D0116
CÓD. 07,LARGO "1 3/4""","Ø 1/4""" $13.52,"Ø 3/8""" ,"Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 1""" 
 09, "2 1/4""",10 CTO $15.87, $27.15, , , , 
 11, "2 3/4""",10 CTO ,5 CTO $29.37, $55.99, , , 
 12, "3""", $17.64,5 CTO $31.21,2.5 CTO $55.41, , , 
 13, "3 1/4""",10 CTO $18.79,5 CTO $32.97,2.5 CTO $59.68, , , 
 14, "3 1/2""",10 CTO ,4.5 CTO $34.60,2.5 CTO $62.09, $98.05, , 
 15, "3 3/4""", ,4 CTO $37.06,2 CTO $67.12,1.2 CTO $105.22, , 
 16, "4""", ,4 CTO $39.41,2 CTO $67.92,1.2 CTO $107.65, $182.31, 
 17, "4 1/4""", ,4 CTO ,2 CTO $76.92,1.2 CTO $115.16,0.8 CTO $184.84, 
 18, "4 1/2""", , $44.92,2 CTO $76.53,1 CTO $121.80,0.6 CTO , 
 19, "4 3/4""", ,3.5 CTO ,2 CTO ,1 CTO , $200.48, 
 20, "5""", , $49.30, $82.42, $125.16,0.6 CTO , 
 22, "5 1/2""", ,3 CTO ,1.5 CTO $87.17,1.1 CTO , $214.26, 
 24, "6""", , $54.45,1.5 CTO $93.11, $147.31,0.6 CTO $245.45, $637.34
 25, "6 1/4""", ,2.5 CTO ,1.5 CTO ,1 CTO ,0.6 CTO $250.71,0.4 CTO 
 28, "7""", , , $107.23, $165.44,0.5 CTO $253.81, 
 32, "8""", , ,1.2 CTO $127.53,0.8 CTO $193.78,0.5 CTO , $590.71
 34, "8 1/2""", , ,1 CTO ,0.6 CTO $211.59, $295.92,0.25 CTO 
 36, "9""", , , ,0.6 CTO ,0.4 CTO , $648.06
 40, "10""", , , , $247.09, $353.79,0.25 CTO 
 48, "12""", , , ,0.6 CTO ,0.4 CTO $430.29, $819.36
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,0.25 CTO ,0.2 CTO 
