PERNO ESTRUCTURAL PAVONADO - ASTM A325,,,,,,
 , , E2008, E2010, E2012, E2014, E2016
CÓD. 04,LARGO "1""","Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
 05, "1 1/4""", $26.00, , , , 
 06, "1 1/2""",5.7 CTO $30.34, $48.84, $78.89, , 
 07, "1 3/4""",4.5 CTO $33.22,2.8 CTO $55.25,1.5 CTO $85.95, , 
 08, "2""",4 CTO $36.63,2 CTO $60.89,1 CTO $92.46, $131.85, 
 09, "2 1/4""",3.5 CTO ,2.15 CTO ,1.5 CTO $101.03,1.05 CTO $142.33, $187.20
 10, "2 1/2""", $44.23, $70.87,1.3 CTO ,0.7 CTO $153.45,0.7 CTO $211.29
 11, "2 3/4""",2 CTO ,1.95 CTO , $115.25,0.88 CTO ,0.5 CTO $225.95
 12, "3""", , $81.61,1 CTO $123.29, $173.20,0.5 CTO 
 13, "3 1/4""", ,1.65 CTO ,1.1 CTO $127.78,0.8 CTO , $248.63
 14, "3 1/2""", , ,1 CTO $137.45, $192.41,0.54 CTO $263.71
 15, "3 3/4""", , ,1 CTO ,0.65 CTO ,0.6 CTO $276.78
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , ,0.5 CTO 
